,TH
% Below High,0.10980000000000001
% Held by Institutions,0.9648
52-Wk Range,['2.72 - 15.67']
Annual Dividend $,
Annual Dividend %,
Ask,14.58
Ask Size,100.0
Ask close,13.99
B/A Ratio,26.0
B/A Size,2600x100
Beta,2.4
Bid,13.32
Bid Size,2600.0
Bid close,13.91
Change Since Close,0.00| |(0.00%)
Closing Price,13.95
Day Change $,0.11
Day Change %,0.0079
Day High,14.2
Day Low,13.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,0.805
Last (size),2700.0
Last (time),4:00p ET 11/28/22
Last Trade,13.95
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",29.76
Prev Close,13.84
Short Interest,0.231
Today's Open,13.68
Volume,525680.0
Volume 10-day Avg,795615.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,-3.59375
Growth 1yr High Est,-4.466666666666667
Growth 1yr Consensus Est,-4.030208333333333
Growth 2yr Low Est,-1.3992846385542168
Growth 2yr High Est,-1.6564102564102563
Growth 2yr Consensus Est,-1.5278474474822366
Growth 5yr Low Est,-0.9328564257028112
Growth 5yr High Est,-1.1042735042735041
Growth 5yr Consensus Est,-1.0185649649881576
Growth 5yr Actual/Est,-5.661506480802151
Growth 3yr Historic,-0.9402298850574713
Price/Earnings (TTM),29.7628
Price/Sales (TTM),3.12135
Price/Book (MRQ),9.24365
Price/Cash Flow (TTM),12.16992
5yr Low,0.82
5yr High,15.67
5yr Avg Return,0.5770599999999999
Short Int Current Month,6320493.0
Short Int Prev Month,5429589.0
Short Int Pct of Float,0.23100079999999998
Days to Cover,7.47154
Float,27.36135
Shares Outstanding,97.25739
Institutions Holding Shares,164.0
FCF Growth 5yr,-2.2905362574671573
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",29.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.44630000000000003
Operating Profit Margin (TTM),0.2872
Net Profit Margin (TTM),0.10470000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.16899999999999998
EPS Growth (TTM),4.1303
Revenue Growth (MRQ),0.45530000000000004
Revenue Growth (TTM),0.6506000000000001
Return On Equity (TTM),0.3779
Return On Assets (TTM),0.0717
Return On Investment (TTM),0.09380000000000001
Revenue Per Employee (TTM),523982.0
Total Debt/Total Capital (MRQ),0.6970000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.01
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-03-08 00:00:00
theStreet since,2022-03-08 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
