,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,32.0,44.22,68.32,53.1,,,,,
low,13.29,15.59,38.61,25.67,,,,,
change,1.0333,0.5471,0.1988,-0.2785,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,91.0,39.0,55.0,73.0,Balance Sheet
Short Term Investments,,,,,28.0,67.0,68.0,68.0,Balance Sheet
Cash and Short Term Invs,,,,,119.0,106.0,122.0,141.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,152.0,218.0,253.0,285.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-17.0,-20.0,-23.0,-27.0,Balance Sheet
"Total Receivables, Net",,,,,135.0,198.0,230.0,258.0,Balance Sheet
Prepaid Expenses,,,,,5.0,5.0,4.0,3.0,Balance Sheet
Total Current Assets,,,,,259.0,309.0,356.0,402.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,13.0,13.0,14.0,14.0,Balance Sheet
"Goodwill, Net",,,,,12.0,12.0,12.0,12.0,Balance Sheet
Intangibles - Net,,,,,1.0,0.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,,,3.0,4.0,4.0,4.0,Balance Sheet
Total Assets,,,,,358.0,416.0,463.0,510.0,Balance Sheet
Accounts Payable,,,,,61.0,85.0,93.0,104.0,Balance Sheet
Accrued Expenses,,,,,37.0,44.0,52.0,53.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,,,99.0,129.0,145.0,157.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,7.0,7.0,7.0,7.0,Balance Sheet
Total Liabilities,,,,,106.0,136.0,152.0,164.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,255.0,278.0,301.0,323.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-2.0,3.0,11.0,25.0,Balance Sheet
Treasury Stock - Common,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Other Equity, Total",,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,,252.0,280.0,311.0,347.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,358.0,416.0,463.0,510.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,91.0,92.0,92.0,93.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,127553.0,172217.0,195004.0,205371.0,Income Statement
"Cost of Revenue, Total",,,,,102438.0,139268.0,151117.0,159376.0,Income Statement
Selling/Gen/Admin Expense,,,,,14980.0,14672.0,17565.0,17711.0,Income Statement
Labor & Related Expense,,,,,10323.0,18335.0,17484.0,17029.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,25303.0,33007.0,35049.0,34740.0,Income Statement
Total Operating Expense,,,,,127741.0,172275.0,186166.0,194116.0,Income Statement
