,PGNY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",81.78,29.13,Valuation,2.807415036045314
Price/Sales (TTM),4.56,1.32,Valuation,3.454545454545454
Price/Book (MRQ),9.18,4.31,Valuation,2.129930394431555
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.2113,0.1318,Profitability,1.6031866464339908
Operating Profit Margin (TTM),0.028300000000000002,0.0458,Profitability,0.6179039301310044
Net Profit Margin (TTM),0.06,0.0242,Profitability,2.479338842975207
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.5045000000000001,-0.1478,Gowth rates,-3.413396481732071
EPS Growth (TTM),-0.5315,-1.101,Gowth rates,0.4827429609445958
Revenue Growth (MRQ),0.053200000000000004,0.0931,Gowth rates,0.5714285714285715
Revenue Growth (TTM),0.47909999999999997,0.1191,Gowth rates,4.0226700251889165
Return On Equity (TTM),0.1472,7.2022,Effectiveness,0.020438199439060285
Return On Assets (TTM),0.0992,0.0403,Effectiveness,2.4615384615384612
Return On Investment (TTM),0.1435,0.016,Effectiveness,8.968749999999998
Revenue Per Employee (TTM),2251270.0,1375304.0,Effectiveness,1.6369253634105623
Total Debt/Total Capital (MRQ),0.0,0.4855,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0015,Financial strength,
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),,9.55,Financial strength,
