,PGNY
% Above Low,0.425
% Held by Institutions,0.9384999999999999
52-Wk Range,['25.67 - 53.33']
Annual Dividend $,
Annual Dividend %,
Ask,36.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,36.6
Bid Size,100.0
Day Change $,2.2
Day Change %,0.064
Day High,36.94
Day Low,35.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.42
Ex-dividend Date,No dividend
Historical Volatility,0.684
Last (size),100.0
Last (time),10:43a ET 11/28/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",81.78
Prev Close,34.38
Price,36.58
Short Interest,0.087
Today's Open,35.28
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.26086956521739124
Growth 2yr High Est,0.931034482758621
Growth 2yr Consensus Est,0.3350824587706149
Growth 5yr Low Est,-0.26086956521739124
Growth 5yr High Est,0.931034482758621
Growth 5yr Consensus Est,0.3350824587706149
Growth 5yr Actual/Est,1.4920033670033672
Growth 3yr Historic,1.537878787878788
Price/Earnings (TTM),81.78315
Price/Sales (TTM),4.56095
Price/Book (MRQ),9.1817
Price/Cash Flow (TTM),73.4081
5yr Low,13.29
5yr High,68.32
5yr Avg Return,0.375175
Short Int Current Month,7101357.0
Short Int Prev Month,5969588.0
Short Int Pct of Float,0.0869971
Days to Cover,6.72583
Float,81.67594
Shares Outstanding,92.88324
Institutions Holding Shares,377.0
FCF Growth 5yr,-0.04289089727073625
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",81.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2113
Operating Profit Margin (TTM),0.028300000000000002
Net Profit Margin (TTM),0.06
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5045000000000001
EPS Growth (TTM),-0.5315
Revenue Growth (MRQ),0.053200000000000004
Revenue Growth (TTM),0.47909999999999997
Return On Equity (TTM),0.1472
Return On Assets (TTM),0.0992
Return On Investment (TTM),0.1435
Revenue Per Employee (TTM),2251270.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-25 00:00:00
theStreet since,2022-10-25 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
