,XEL
Price/Earnings (TTM),22.73707
Price/Sales (TTM),2.60778
Price/Book (MRQ),2.32471
Price/Cash Flow (TTM),9.16424
5yr Low,41.51
5yr High,77.66
5yr Avg Return,0.05704999999999999
EPS Growth 5yr,0.0603513
Revenue Growth 5yr,0.0387291
Dividend Growth 5yr,0.061094600000000006
Short Int Current Month,7989371.0
Short Int Prev Month,6535923.0
Short Int Pct of Float,0.0146345
Days to Cover,1.88033
Float,546.1161
Shares Outstanding,547.2485
Institutions Holding Shares,1221.0
% Held by Institutions,0.7596250000000001
FCF Growth 5yr,-0.10683836304274259
