,XEL
% Below High,0.1065
% Held by Institutions,0.7595999999999999
52-Wk Range,['56.89 - 77.66']
Annual Dividend $,1.95
Annual Dividend %,0.027999999999999997
Ask,69.63
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,69.26
Bid Size,100.0
Closing Price,69.39
Day Change $,-0.24
Day Change %,-0.0034000000000000002
Day High,69.7
Day Low,68.64
Dividend Pay Date,2022-10-20 00:00:00
"EPS (TTM, GAAP)",3.06
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.231
Last (size),4.0
Last (time),3:59p ET 11/28/22
Market Cap,38.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.74
Prev Close,69.63
Short Interest,0.0146
Today's Open,69.27
Volume,2197604.0
Volume 10-day Avg,3106616.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.0714285714285714
Growth 1yr High Est,0.06333333333333324
Growth 1yr Consensus Est,0.06738095238095232
Growth 2yr Low Est,0.05634920634920637
Growth 2yr High Est,0.06771682340647855
Growth 2yr Consensus Est,0.06203301487784246
Growth 5yr Low Est,0.06089208083792924
Growth 5yr High Est,0.06485352315678478
Growth 5yr Consensus Est,0.06287280199735701
Growth 5yr Actual/Est,0.0637355210470098
Growth 3yr Historic,0.02943752036493974
Price/Earnings (TTM),22.73707
Price/Sales (TTM),2.60778
Price/Book (MRQ),2.32471
Price/Cash Flow (TTM),9.16424
5yr Low,41.51
5yr High,77.66
5yr Avg Return,0.05704999999999999
EPS Growth 5yr,0.0603513
Revenue Growth 5yr,0.0387291
Dividend Growth 5yr,0.061094600000000006
Short Int Current Month,7989371.0
Short Int Prev Month,6535923.0
Short Int Pct of Float,0.0146345
Days to Cover,1.88033
Float,546.1161
Shares Outstanding,547.2485
Institutions Holding Shares,1221.0
FCF Growth 5yr,-0.10683836304274259
"Price/Earnings (TTM, GAAP)",22.74
"PEG Ratio (TTM, GAAP)",3.34
Gross Profit Margin (TTM),0.40380000000000005
Operating Profit Margin (TTM),0.1597
Net Profit Margin (TTM),0.1144
Annual Dividend Yield,0.027999999999999997
Dividend Change %,0.0634
"Dividend Growth Rate, 3 Years",0.0632
EPS Growth (MRQ),0.9715
EPS Growth (TTM),0.048499999999999995
Revenue Growth (MRQ),0.19219999999999998
Revenue Growth (TTM),0.122
Return On Equity (TTM),0.106
Return On Assets (TTM),0.0285
Return On Investment (TTM),0.0313
Revenue Per Employee (TTM),1290699.0
Total Debt/Total Capital (MRQ),0.5962
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.86
Interest Coverage (MRQ),4.05
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-04-28 00:00:00
theStreet since,2021-04-27 00:00:00
cfra since,2022-04-28 00:00:00
ford since,2022-01-28 00:00:00
marketEdge opinion since,
