,MRSN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),54.73,45.03,Valuation,1.2154119475904952
Price/Book (MRQ),7.13,12.61,Valuation,0.5654242664551943
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-17.3028,-4.7459,Profitability,3.6458416738658634
Net Profit Margin (TTM),-17.4959,-4.5467,Profitability,3.8480436360437236
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.1233,-0.0014000000000000002,Gowth rates,88.07142857142857
EPS Growth (TTM),-0.1333,0.027200000000000002,Gowth rates,-4.900735294117647
Revenue Growth (MRQ),0.3009,1.3963999999999999,Gowth rates,0.21548266972214267
Revenue Growth (TTM),269.54540000000003,0.9747,Gowth rates,276.54191033138403
Return On Equity (TTM),-1.6947999999999999,0.1967,Effectiveness,-8.616166751398067
Return On Assets (TTM),-0.7823000000000001,0.0016,Effectiveness,-488.93750000000006
Return On Investment (TTM),-1.0423,0.0219,Effectiveness,-47.593607305936075
Revenue Per Employee (TTM),70438.0,1476201.0,Effectiveness,0.04771572434919093
Total Debt/Total Capital (MRQ),0.21600000000000003,0.4675,Financial strength,0.46203208556149733
Change in Debt/Total Capital Quarter over Quarter,0.023799999999999998,0.0036,Financial strength,6.611111111111111
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-346.74,2.69,Financial strength,-128.89962825278812
