,MRSN
% Below High,0.2168
% Held by Institutions,0.9384
52-Wk Range,['2.68 - 8.34']
Annual Dividend $,
Annual Dividend %,
Ask,10.35
Ask Size,200.0
Ask close,8.07
B/A Ratio,0.5
B/A Size,100x200
Beta,1.7
Bid,6.56
Bid Size,100.0
Bid close,5.03
Change Since Close,0.00| |(0.00%)
Closing Price,6.53
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.43
Ex-dividend Date,No dividend
Historical Volatility,0.8640000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,6.53
Market Cap,651.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.53
Short Interest,0.0479
Today's Open,
Volume,2.0
Volume 10-day Avg,979068.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.04938271604938249
Growth 1yr High Est,-0.11392405063291144
Growth 1yr Consensus Est,-0.03227066729176448
Growth 2yr Low Est,0.048220769789397155
Growth 2yr High Est,-0.2283905967450272
Growth 2yr Consensus Est,-0.09008491347781503
Growth 5yr Low Est,0.6178603848946986
Growth 5yr High Est,1.237156052978838
Growth 5yr Consensus Est,0.9275082189367684
Growth 5yr Actual/Est,0.4328166992067406
Growth 3yr Historic,0.4713286713286713
Price/Earnings (TTM),
Price/Sales (TTM),54.73146
Price/Book (MRQ),7.13456
Price/Cash Flow (TTM),
5yr Low,1.32
5yr High,29.09
5yr Avg Return,0.40766666666666673
EPS Growth 5yr,
Revenue Growth 5yr,-0.7204152
Dividend Growth 5yr,
Short Int Current Month,4725966.0
Short Int Prev Month,5397371.0
Short Int Pct of Float,0.0478922
Days to Cover,4.58803
Float,98.68371
Shares Outstanding,99.77386
Institutions Holding Shares,206.0
FCF Growth 5yr,1.1782933163091205
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-17.3028
Net Profit Margin (TTM),-17.4959
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1233
EPS Growth (TTM),-0.1333
Revenue Growth (MRQ),0.3009
Revenue Growth (TTM),269.54540000000003
Return On Equity (TTM),-1.6947999999999999
Return On Assets (TTM),-0.7823000000000001
Return On Investment (TTM),-1.0423
Revenue Per Employee (TTM),70438.0
Total Debt/Total Capital (MRQ),0.21600000000000003
Change in Debt/Total Capital Quarter over Quarter,0.023799999999999998
Quick Ratio (MRQ),
Interest Coverage (MRQ),-346.74
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2018-09-06 00:00:00
theStreet since,2018-09-06 00:00:00
ford since,2022-05-13 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
