,MDT
% Above Low,0.0329
% Held by Institutions,0.8116
52-Wk Range,['76.60 - 114.44']
Annual Dividend $,2.72
Annual Dividend %,0.0344
Ask,79.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,78.7
Bid Size,100.0
Change Since Close,0.19| |(0.24%)
Closing Price,79.12
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",3.22
Ex-dividend,2022-09-22 00:00:00
Ex-dividend Date,09/22/22
Historical Volatility,0.263
Last (size),5.0
Last (time),5:00p ET 11/25/22
Last Trade,79.31
Market Cap,105.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.57
Prev Close,79.12
Short Interest,0.0072
Today's Open,
Volume,30.0
Volume 10-day Avg,8883079.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.06927175843694489
Growth 1yr High Est,-0.07017543859649134
Growth 1yr Consensus Est,-0.06972359851671811
Growth 2yr Low Est,-0.042269467004732
Growth 2yr High Est,0.0026481297583580976
Growth 2yr Consensus Est,-0.01981066862318695
Growth 5yr Low Est,0.07313357105232562
Growth 5yr High Est,0.03500332567012582
Growth 5yr Consensus Est,0.05406844836122572
Growth 5yr Actual/Est,0.049307585574188934
Growth 3yr Historic,0.0543300653594771
Price/Earnings (TTM),24.56822
Price/Sales (TTM),3.41604
Price/Book (MRQ),2.02855
Price/Cash Flow (TTM),14.94481
5yr Low,72.13
5yr High,135.89
5yr Avg Return,0.004750000000000008
EPS Growth 5yr,0.0519245
Revenue Growth 5yr,0.012961499999999999
Dividend Growth 5yr,0.07938010000000001
Short Int Current Month,9590646.0
Short Int Prev Month,9631620.0
Short Int Pct of Float,0.0072177000000000005
Days to Cover,1.3204
Float,1328.892
Shares Outstanding,1330.149
Institutions Holding Shares,2626.0
FCF Growth 5yr,0.1357738147688701
"Price/Earnings (TTM, GAAP)",24.57
"PEG Ratio (TTM, GAAP)",8.35
Gross Profit Margin (TTM),0.6763
Operating Profit Margin (TTM),0.1882
Net Profit Margin (TTM),0.141
Annual Dividend Yield,0.0344
Dividend Change %,0.0862
"Dividend Growth Rate, 3 Years",0.0801
EPS Growth (MRQ),-0.5413
EPS Growth (TTM),-0.0727
Revenue Growth (MRQ),0.028999999999999998
Revenue Growth (TTM),-0.0311
Return On Equity (TTM),0.08320000000000001
Return On Assets (TTM),0.047
Return On Investment (TTM),0.0535
Revenue Per Employee (TTM),324295.0
Total Debt/Total Capital (MRQ),0.3383
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.41
Interest Coverage (MRQ),13.36
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-08-02 00:00:00
cfra since,2021-05-27 00:00:00
ford since,2021-01-08 00:00:00
marketEdge opinion since,
