,AMN
% Below High,0.051399999999999994
% Held by Institutions,1.0112999999999999
52-Wk Range,['82.76 - 129.12']
Annual Dividend $,
Annual Dividend %,
Ask,124.54
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.3
Bid,118.39
Bid Size,100.0
Closing Price,122.48
Day Change $,0.61
Day Change %,0.005
Day High,123.49
Day Low,120.88
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.37
Ex-dividend Date,No dividend
Historical Volatility,0.47600000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.81
Prev Close,121.87
Short Interest,0.0983
Today's Open,121.86
Volume,182868.0
Volume 10-day Avg,615462.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.6081460674157302
Growth 1yr High Est,0.43965517241379315
Growth 1yr Consensus Est,0.5239006199147617
Growth 2yr Low Est,0.12241364506157693
Growth 2yr High Est,0.10306111914102839
Growth 2yr Consensus Est,0.11273738210130266
Growth 5yr Low Est,0.3770445122227136
Growth 5yr High Est,0.42278293148702273
Growth 5yr Consensus Est,0.3999137218548681
Growth 5yr Actual/Est,0.39861986304007646
Growth 3yr Historic,0.3549310559803435
Price/Earnings (TTM),11.80578
Price/Sales (TTM),0.96844
Price/Book (MRQ),4.68527
Price/Cash Flow (TTM),8.76764
5yr Low,36.65
5yr High,129.12
5yr Avg Return,0.19561666666666666
EPS Growth 5yr,0.2596968
Revenue Growth 5yr,0.15935549999999998
Dividend Growth 5yr,
Short Int Current Month,4226723.0
Short Int Prev Month,4742397.0
Short Int Pct of Float,0.0983234
Days to Cover,4.64792
Float,42.98571
Shares Outstanding,43.33591
Institutions Holding Shares,581.0
FCF Growth 5yr,0.3601340622352855
"Price/Earnings (TTM, GAAP)",11.81
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.324
Operating Profit Margin (TTM),0.12710000000000002
Net Profit Margin (TTM),0.0873
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2414
EPS Growth (TTM),1.2585
Revenue Growth (MRQ),-0.20190000000000002
Revenue Growth (TTM),0.6851
Return On Equity (TTM),0.44
Return On Assets (TTM),0.1671
Return On Investment (TTM),0.2281
Revenue Per Employee (TTM),1442310.0
Total Debt/Total Capital (MRQ),0.4268
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),15.22
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-10-12 00:00:00
