,CDLX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,15.8,Valuation,
Price/Sales (TTM),0.44,2.92,Valuation,0.1506849315068493
Price/Book (MRQ),0.23,3.23,Valuation,0.07120743034055728
"PEG Ratio (TTM, GAAP)",,10.23,Valuation,
Gross Profit Margin (TTM),0.4819,0.5389,Profitability,0.894228984969382
Operating Profit Margin (TTM),-0.29910000000000003,0.14,Profitability,-2.1364285714285716
Net Profit Margin (TTM),-0.32280000000000003,0.1103,Profitability,-2.9265639165911157
Annual Dividend Yield,,0.0176,Dividend,
Dividend Change %,,0.056900000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0675,Dividend,
EPS Growth (MRQ),1.0502,0.7041,Gowth rates,1.4915494958102544
EPS Growth (TTM),0.2172,0.0154,Gowth rates,14.103896103896103
Revenue Growth (MRQ),-0.0358,0.1423,Gowth rates,-0.2515811665495432
Revenue Growth (TTM),0.25370000000000004,0.1115,Gowth rates,2.2753363228699555
Return On Equity (TTM),-0.1557,0.1409,Effectiveness,-1.1050390347764372
Return On Assets (TTM),-0.08630000000000002,0.0388,Effectiveness,-2.224226804123712
Return On Investment (TTM),-0.11220000000000001,0.049800000000000004,Effectiveness,-2.253012048192771
Revenue Per Employee (TTM),517915.0,648551.0,Effectiveness,0.7985725101032918
Total Debt/Total Capital (MRQ),0.28,0.5946,Financial strength,0.47090480995627315
Change in Debt/Total Capital Quarter over Quarter,0.0043,0.0004,Financial strength,10.75
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),1.84,5.53,Financial strength,0.33273056057866185
