,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,28.29,65.43,150.46,161.47,73.41,,,,,
low,9.8,10.3,27.33,60.66,3.5,,,,,
change,-0.105,4.919,1.2583,-0.5378000000000001,-0.9395,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,233.0,208.0,157.0,139.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,111.0,97.0,92.0,97.0,Balance Sheet
Other Receivables,,,,,,6.0,6.0,5.0,5.0,Balance Sheet
"Total Receivables, Net",,,,,,117.0,102.0,97.0,102.0,Balance Sheet
Prepaid Expenses,,,,,,8.0,9.0,10.0,9.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Assets,,,,,,359.0,319.0,264.0,249.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,21.0,19.0,19.0,16.0,Balance Sheet
"Goodwill, Net",,,,,,743.0,748.0,666.0,666.0,Balance Sheet
Intangibles - Gross,,,,,,158.0,169.0,171.0,173.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-20.0,-27.0,-34.0,-41.0,Balance Sheet
Intangibles - Net,,,,,,139.0,142.0,138.0,132.0,Balance Sheet
Other Long Term Assets,,,,,,2.0,3.0,3.0,3.0,Balance Sheet
Total Assets,,,,,,1264.0,1231.0,1090.0,1066.0,Balance Sheet
Accounts Payable,,,,,,5.0,4.0,3.0,5.0,Balance Sheet
Accrued Expenses,,,,,,38.0,29.0,37.0,40.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,3.0,3.0,5.0,3.0,Balance Sheet
Other Current Liabilities,,,,,,282.0,211.0,249.0,208.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,285.0,214.0,254.0,211.0,Balance Sheet
Total Current Liabilities,,,,,,327.0,247.0,294.0,255.0,Balance Sheet
Long Term Debt,,,,,,184.0,225.0,225.0,226.0,Balance Sheet
Capital Lease Obligations,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Long Term Debt,,,,,,184.0,225.0,225.0,226.0,Balance Sheet
Total Debt,,,,,,184.0,225.0,225.0,226.0,Balance Sheet
"Other Liabilities, Total",,,,,,61.0,48.0,6.0,5.0,Balance Sheet
Total Liabilities,,,,,,573.0,520.0,525.0,486.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,1213.0,1188.0,1163.0,1169.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-523.0,-478.0,-605.0,-598.0,Balance Sheet
"Other Equity, Total",,,,,,0.0,2.0,6.0,10.0,Balance Sheet
