,CDLX
% Above Low,0.1514
% Held by Institutions,0.9405
52-Wk Range,['3.50 - 74.23']
Annual Dividend $,
Annual Dividend %,
Ask,6.41
Ask Size,200.0
B/A Ratio,15.0
B/A Size,3000x200
Beta,1.9
Bid,3.95
Bid Size,3000.0
Closing Price,4.03
Day Change $,-0.04
Day Change %,-0.0098
Day High,4.05
Day Low,3.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.03
Ex-dividend Date,No dividend
Historical Volatility,1.252
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,132.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.07
Short Interest,0.1361
Today's Open,4.01
Volume,389059.0
Volume 10-day Avg,983088.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,1.043010752688172
Growth 1yr High Est,1.2799999999999998
Growth 1yr Consensus Est,1.161505376344086
Growth 2yr Low Est,0.6583474816072439
Growth 2yr High Est,0.511345029239766
Growth 2yr Consensus Est,0.584846255423505
Growth 5yr Low Est,0.4388983210714959
Growth 5yr High Est,0.340896686159844
Growth 5yr Consensus Est,0.38989750361567
Growth 5yr Actual/Est,2.6078022875816993
Growth 3yr Historic,2.5091911764705883
Price/Earnings (TTM),
Price/Sales (TTM),0.43667
Price/Book (MRQ),0.22939
Price/Cash Flow (TTM),
5yr Low,3.5
5yr High,161.47
5yr Avg Return,0.919
EPS Growth 5yr,
Revenue Growth 5yr,0.1881246
Dividend Growth 5yr,
Short Int Current Month,4382138.0
Short Int Prev Month,4418252.0
Short Int Pct of Float,0.1360551
Days to Cover,2.09824
Float,32.24191
Shares Outstanding,33.16585
Institutions Holding Shares,181.0
FCF Growth 5yr,0.14084828215262993
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4819
Operating Profit Margin (TTM),-0.29910000000000003
Net Profit Margin (TTM),-0.32280000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0502
EPS Growth (TTM),0.2172
Revenue Growth (MRQ),-0.0358
Revenue Growth (TTM),0.25370000000000004
Return On Equity (TTM),-0.1557
Return On Assets (TTM),-0.08630000000000002
Return On Investment (TTM),-0.11220000000000001
Revenue Per Employee (TTM),517915.0
Total Debt/Total Capital (MRQ),0.28
Change in Debt/Total Capital Quarter over Quarter,0.0043
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.84
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-05 00:00:00
ford since,2022-03-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-08-05 00:00:00
