,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,43.3,31.24,19.38,,,,,
low,24.18,15.14,7.89,,,,,
change,-0.27690000000000003,-0.2893,-0.2457,,,,,
Date,,,,2021-12-26 00:00:00,2022-03-27 00:00:00,2022-06-26 00:00:00,2022-09-25 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,30966.0,24774.0,22082.0,18838.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,27207.0,26126.0,31392.0,33898.0,Balance Sheet
Prov. for Doubtful Accts,,,,-269.0,-337.0,-282.0,-770.0,Balance Sheet
"Trade Accts Recvble, Net",,,,26938.0,25789.0,31110.0,33128.0,Balance Sheet
Other Receivables,,,,199.0,,,,Balance Sheet
"Total Receivables, Net",,,,27137.0,25789.0,31110.0,33128.0,Balance Sheet
Invent. - Finished Goods,,,,7781.0,9653.0,12977.0,18911.0,Balance Sheet
Invent. - Raw Materials,,,,2166.0,3434.0,5537.0,5622.0,Balance Sheet
Inventories - Other,,,,998.0,649.0,642.0,978.0,Balance Sheet
LIFO Reserve,,,,,-400.0,-56.0,-40.0,Balance Sheet
Total Inventory,,,,10945.0,13336.0,19100.0,25471.0,Balance Sheet
Prepaid Expenses,,,,3539.0,3112.0,2797.0,5572.0,Balance Sheet
"Other Curr. Assets, Total",,,,68621.0,67051.0,68257.0,68076.0,Balance Sheet
Total Current Assets,,,,141208.0,134062.0,143346.0,151085.0,Balance Sheet
Buildings,,,,15044.0,15130.0,30160.0,30679.0,Balance Sheet
Land/Improvements,,,,525.0,525.0,552.0,552.0,Balance Sheet
Machinery/Equipment,,,,16218.0,15278.0,23521.0,25281.0,Balance Sheet
Construction in Progress,,,,21164.0,23972.0,2379.0,1809.0,Balance Sheet
Other Prop./Plant/Equip.,,,,503.0,3442.0,3256.0,2916.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,53454.0,58347.0,59868.0,61237.0,Balance Sheet
Accumulated Depreciation,,,,-8846.0,-8137.0,-9403.0,-10769.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,44608.0,50210.0,50465.0,50468.0,Balance Sheet
"Goodwill, Net",,,,3858.0,3858.0,3858.0,3858.0,Balance Sheet
Other Long Term Assets,,,,189.0,3131.0,2511.0,1183.0,Balance Sheet
Total Assets,,,,189942.0,191261.0,200180.0,206594.0,Balance Sheet
