,VITL
% Below High,0.29510000000000003
% Held by Institutions,0.6261
52-Wk Range,['7.89 - 19.38']
Annual Dividend $,
Annual Dividend %,
Ask,14.64
Ask Size,400.0
B/A Ratio,2.75
B/A Size,1100x400
Beta,
Bid,13.64
Bid Size,1100.0
Closing Price,13.66
Day Change $,-0.47
Day Change %,-0.0333
Day High,14.2
Day Low,13.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.11
Ex-dividend Date,No dividend
Historical Volatility,0.5810000000000001
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,555.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,14.13
Short Interest,0.0567
Today's Open,14.1
Volume,93042.0
Volume 10-day Avg,120059.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-3.0
Growth 1yr High Est,-0.20000000000000007
Growth 1yr Consensus Est,-1.6
Growth 2yr Low Est,-0.5
Growth 2yr High Est,1.3375
Growth 2yr Consensus Est,0.41874999999999996
Growth 5yr Low Est,-0.5
Growth 5yr High Est,1.3375
Growth 5yr Consensus Est,0.41874999999999996
Growth 5yr Actual/Est,0.6296296296296298
Growth 3yr Historic,-0.25925925925925924
Price/Earnings (TTM),
Price/Sales (TTM),1.74739
Price/Book (MRQ),3.72372
Price/Cash Flow (TTM),876.0144
5yr Low,7.89
5yr High,43.3
5yr Avg Return,-0.27063333333333334
Short Int Current Month,1474331.0
Short Int Prev Month,1615997.0
Short Int Pct of Float,0.056661
Days to Cover,8.95934
Float,26.01963
Shares Outstanding,40.73188
Institutions Holding Shares,164.0
FCF Growth 5yr,5.555566482442923
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2939
Operating Profit Margin (TTM),-0.017
Net Profit Margin (TTM),-0.013000000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.6180000000000003
EPS Growth (TTM),-1.9698
Revenue Growth (MRQ),0.1107
Revenue Growth (TTM),0.38689999999999997
Return On Equity (TTM),-0.027700000000000002
Return On Assets (TTM),-0.021800000000000003
Return On Investment (TTM),-0.027700000000000002
Revenue Per Employee (TTM),1143656.0
Total Debt/Total Capital (MRQ),0.0001
Change in Debt/Total Capital Quarter over Quarter,-0.0096
Quick Ratio (MRQ),2.47
Interest Coverage (MRQ),168.67
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-11-15 00:00:00
theStreet since,2021-11-15 00:00:00
ford since,2022-06-10 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
