,VITL
Price/Earnings (TTM),
Price/Sales (TTM),1.74739
Price/Book (MRQ),3.72372
Price/Cash Flow (TTM),876.0144
5yr Low,7.89
5yr High,43.3
5yr Avg Return,-0.27063333333333334
Short Int Current Month,1474331.0
Short Int Prev Month,1615997.0
Short Int Pct of Float,0.056661
Days to Cover,8.95934
Float,26.01963
Shares Outstanding,40.73188
Institutions Holding Shares,164.0
% Held by Institutions,0.6261030000000001
FCF Growth 5yr,5.555566482442923
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
