,RIGL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),1.45,45.03,Valuation,0.032200755052187426
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9788,0.5874,Profitability,1.6663261831801157
Operating Profit Margin (TTM),-0.8845000000000001,-4.7459,Profitability,0.18637139425609475
Net Profit Margin (TTM),-0.9244,-4.5467,Profitability,0.20331229243187365
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.4054,-0.0014000000000000002,Gowth rates,289.5714285714285
EPS Growth (TTM),-4.1524,0.027200000000000002,Gowth rates,-152.66176470588235
Revenue Growth (MRQ),-0.24850000000000003,1.3963999999999999,Gowth rates,-0.17795760527069612
Revenue Growth (TTM),-0.3932,0.9747,Gowth rates,-0.40340617625936187
Return On Equity (TTM),-5.5379,0.1967,Effectiveness,-28.154041687849514
Return On Assets (TTM),-0.5468999999999999,0.0016,Effectiveness,-341.81249999999994
Return On Investment (TTM),-0.8448000000000001,0.0219,Effectiveness,-38.57534246575343
Revenue Per Employee (TTM),541655.0,1476201.0,Effectiveness,0.3669249648252508
Total Debt/Total Capital (MRQ),2.0102,0.4675,Financial strength,4.299893048128342
Change in Debt/Total Capital Quarter over Quarter,0.022000000000000002,0.0036,Financial strength,6.111111111111112
Quick Ratio (MRQ),2.19,2.06,Financial strength,1.0631067961165048
Interest Coverage (MRQ),-29.03,2.69,Financial strength,-10.79182156133829
