,RYAN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",106.86,19.61,Valuation,5.449260581336053
Price/Sales (TTM),6.12,2.33,Valuation,2.6266094420600856
Price/Book (MRQ),23.06,3.82,Valuation,6.036649214659686
"PEG Ratio (TTM, GAAP)",9.99,37.63,Valuation,0.26547967047568427
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.1591,0.1298,Profitability,1.2257318952234206
Net Profit Margin (TTM),0.08810000000000001,0.10460000000000001,Profitability,0.8422562141491395
Annual Dividend Yield,,0.0168,Dividend,
Dividend Change %,,-0.0075,Dividend,
"Dividend Growth Rate, 3 Years",,0.0225,Dividend,
EPS Growth (MRQ),-0.7836,-0.0779,Gowth rates,10.059050064184852
EPS Growth (TTM),-0.6614,-0.005200000000000001,Gowth rates,127.19230769230768
Revenue Growth (MRQ),-0.16140000000000002,0.0897,Gowth rates,-1.79933110367893
Revenue Growth (TTM),0.2082,0.042800000000000005,Gowth rates,4.864485981308411
Return On Equity (TTM),0.1409,0.3775,Effectiveness,0.3732450331125828
Return On Assets (TTM),0.0279,0.031200000000000002,Effectiveness,0.8942307692307692
Return On Investment (TTM),0.057699999999999994,0.035,Effectiveness,1.6485714285714284
Revenue Per Employee (TTM),470590.0,1261907.0,Effectiveness,0.3729197159537113
Total Debt/Total Capital (MRQ),0.7236,0.4026,Financial strength,1.7973174366616989
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.002,Financial strength,0.3
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),2.86,10.79,Financial strength,0.26506024096385544
