,RYAN
% Above Low,0.20320000000000002
% Held by Institutions,0.7240000000000001
52-Wk Range,['32.13 - 46.40']
Annual Dividend $,
Annual Dividend %,
Ask,38.67
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,
Bid,38.61
Bid Size,200.0
Day Change $,-0.67
Day Change %,-0.017
Day High,39.31
Day Low,38.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.37
Ex-dividend Date,No dividend
Historical Volatility,0.46799999999999997
Last (size),100.0
Last (time),1:30p ET 11/28/22
Market Cap,4.3B
"P/E Ratio (TTM, GAAP)",106.86
Prev Close,39.33
Price,38.66
Short Interest,0.0801
Today's Open,39.1
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-14 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,1.2400000000000002
Growth 1yr High Est,-0.008474576271186418
Growth 1yr Consensus Est,0.6157627118644069
Growth 2yr Low Est,0.6869642857142858
Growth 2yr High Est,0.10687382297551795
Growth 2yr Consensus Est,0.3969190543449019
Growth 5yr Low Est,0.6869642857142858
Growth 5yr High Est,0.10687382297551795
Growth 5yr Consensus Est,0.3969190543449019
Growth 5yr Actual/Est,0.11549707602339176
Growth 3yr Historic,0.0
Price/Earnings (TTM),106.8634
Price/Sales (TTM),6.1186
Price/Book (MRQ),23.06111
Price/Cash Flow (TTM),39.79899
5yr Low,25.57
5yr High,46.4
5yr Avg Return,0.26849999999999996
Short Int Current Month,6716193.0
Short Int Prev Month,6938647.0
Short Int Pct of Float,0.08010389999999999
Days to Cover,4.83908
Float,96.58431
Shares Outstanding,259.6031
Institutions Holding Shares,249.0
FCF Growth 5yr,-1.2136540399269478
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",106.86
"PEG Ratio (TTM, GAAP)",9.99
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1591
Net Profit Margin (TTM),0.08810000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7836
EPS Growth (TTM),-0.6614
Revenue Growth (MRQ),-0.16140000000000002
Revenue Growth (TTM),0.2082
Return On Equity (TTM),0.1409
Return On Assets (TTM),0.0279
Return On Investment (TTM),0.057699999999999994
Revenue Per Employee (TTM),470590.0
Total Debt/Total Capital (MRQ),0.7236
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.86
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-23 00:00:00
theStreet since,2022-08-23 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
