,TSP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.96,Valuation,
Price/Sales (TTM),52.12,3.76,Valuation,13.861702127659575
Price/Book (MRQ),0.47,7.0,Valuation,0.06714285714285714
"PEG Ratio (TTM, GAAP)",,3.13,Valuation,
Gross Profit Margin (TTM),-0.9816,0.5844,Profitability,-1.679671457905544
Operating Profit Margin (TTM),-47.952,0.2133,Profitability,-224.81012658227849
Net Profit Margin (TTM),-46.9776,0.1038,Profitability,-452.57803468208095
Annual Dividend Yield,,0.013000000000000001,Dividend,
Dividend Change %,,0.09210000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.09480000000000001,Dividend,
EPS Growth (MRQ),-0.0376,0.3065,Gowth rates,-0.12267536704730833
EPS Growth (TTM),0.3822,0.0956,Gowth rates,3.9979079497907946
Revenue Growth (MRQ),0.0227,0.2373,Gowth rates,0.09565950273914876
Revenue Growth (TTM),0.9323,0.2979,Gowth rates,3.129573682443773
Return On Equity (TTM),-0.3624,0.1677,Effectiveness,-2.1610017889087656
Return On Assets (TTM),-0.3396,0.065,Effectiveness,-5.224615384615385
Return On Investment (TTM),-0.35369999999999996,0.06480000000000001,Effectiveness,-5.458333333333332
Revenue Per Employee (TTM),6829.29,723294.0,Effectiveness,0.009441928178582982
Total Debt/Total Capital (MRQ),0.0053,0.5356000000000001,Financial strength,0.009895444361463777
Change in Debt/Total Capital Quarter over Quarter,0.005200000000000001,0.0005,Financial strength,10.4
Quick Ratio (MRQ),,0.75,Financial strength,
Interest Coverage (MRQ),,13.38,Financial strength,
