,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,79.84,37.24,,,,,
low,27.24,2.11,,,,,
change,-0.1093,-0.9393000000000001,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,1338.0,1237.0,1156.0,871.0,Balance Sheet
Short Term Investments,,,,,,198.0,Balance Sheet
Cash and Short Term Invs,,,1338.0,1237.0,1156.0,1069.0,Balance Sheet
"Trade Accts Recvble, Net",,,2.0,2.0,3.0,3.0,Balance Sheet
Other Receivables,,,0.0,,,,Balance Sheet
"Total Receivables, Net",,,2.0,2.0,3.0,3.0,Balance Sheet
Prepaid Expenses,,,14.0,15.0,21.0,19.0,Balance Sheet
"Other Curr. Assets, Total",,,,2.0,2.0,,Balance Sheet
Total Current Assets,,,1353.0,1255.0,1181.0,1091.0,Balance Sheet
Buildings,,,12.0,12.0,12.0,,Balance Sheet
Machinery/Equipment,,,34.0,32.0,32.0,,Balance Sheet
Construction in Progress,,,5.0,1.0,1.0,,Balance Sheet
Other Prop./Plant/Equip.,,,9.0,51.0,54.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,,60.0,96.0,99.0,,Balance Sheet
Accumulated Depreciation,,,-24.0,-24.0,-26.0,,Balance Sheet
Prop./Plant/Equip. - Net,,,36.0,72.0,73.0,85.0,Balance Sheet
Other Long Term Assets,,,7.0,8.0,4.0,5.0,Balance Sheet
Total Assets,,,1396.0,1335.0,1259.0,1180.0,Balance Sheet
Accounts Payable,,,5.0,3.0,4.0,7.0,Balance Sheet
Accrued Expenses,,,35.0,22.0,28.0,46.0,Balance Sheet
Notes Payable/ST Debt,,,2.0,2.0,2.0,2.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,1.0,2.0,2.0,0.0,Balance Sheet
Other Payables,,,0.0,,,,Balance Sheet
Other Current Liabilities,,,14.0,13.0,13.0,5.0,Balance Sheet
"Other Curr. Lblts, Total",,,14.0,13.0,13.0,5.0,Balance Sheet
Total Current Liabilities,,,56.0,42.0,48.0,59.0,Balance Sheet
Long Term Debt,,,6.0,5.0,4.0,4.0,Balance Sheet
Capital Lease Obligations,,,3.0,4.0,4.0,0.0,Balance Sheet
Total Long Term Debt,,,8.0,9.0,8.0,4.0,Balance Sheet
Total Debt,,,11.0,13.0,12.0,6.0,Balance Sheet
"Other Liabilities, Total",,,5.0,39.0,42.0,48.0,Balance Sheet
Total Liabilities,,,69.0,90.0,98.0,111.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,2465.0,2494.0,2520.0,2544.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-1138.0,-1250.0,-1358.0,-4.0,Balance Sheet
"Other Equity, Total",,,0.0,0.0,-1.0,-1471.0,Balance Sheet
Total Equity,,,1327.0,1245.0,1161.0,1069.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1396.0,1335.0,1259.0,1180.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,198.0,199.0,198.0,201.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,24.0,24.0,24.0,24.0,Balance Sheet
Ttl Comm. Shares Outs.,,,222.0,223.0,222.0,225.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
