,TSP
% Above Low,0.047400000000000005
% Held by Institutions,0.40659999999999996
52-Wk Range,['2.11 - 42.64']
Annual Dividend $,
Annual Dividend %,
Ask,2.29
Ask Size,1000.0
B/A Ratio,9.3
B/A Size,9300x1000
Beta,
Bid,2.21
Bid Size,9300.0
Closing Price,2.21
Day Change $,-0.01
Day Change %,-0.0045000000000000005
Day High,2.36
Day Low,2.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.96
Ex-dividend Date,No dividend
Historical Volatility,1.143
Last (size),666.0
Last (time),3:59p ET 11/28/22
Market Cap,498.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.22
Short Interest,0.0687
Today's Open,2.23
Volume,2201316.0
Volume 10-day Avg,4101875.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.09927360774818395
Growth 2yr High Est,-0.4049079754601227
Growth 2yr Consensus Est,-0.2520907916041533
Growth 5yr Low Est,-0.09927360774818395
Growth 5yr High Est,-0.4049079754601227
Growth 5yr Consensus Est,-0.2520907916041533
Growth 5yr Actual/Est,-0.18994073232118203
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),52.12429
Price/Book (MRQ),0.46756
Price/Cash Flow (TTM),
5yr Low,2.11
5yr High,79.84
5yr Avg Return,-0.5243000000000001
Short Int Current Month,8488683.0
Short Int Prev Month,11153658.0
Short Int Pct of Float,0.06870949999999999
Days to Cover,0.99654
Float,122.9342
Shares Outstanding,224.4867
Institutions Holding Shares,215.0
FCF Growth 5yr,0.2064928535516771
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.9816
Operating Profit Margin (TTM),-47.952
Net Profit Margin (TTM),-46.9776
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0376
EPS Growth (TTM),0.3822
Revenue Growth (MRQ),0.0227
Revenue Growth (TTM),0.9323
Return On Equity (TTM),-0.3624
Return On Assets (TTM),-0.3396
Return On Investment (TTM),-0.35369999999999996
Revenue Per Employee (TTM),6829.29
Total Debt/Total Capital (MRQ),0.0053
Change in Debt/Total Capital Quarter over Quarter,0.005200000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-04 00:00:00
theStreet since,2022-08-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
