,AWR
% Below High,0.0414
% Held by Institutions,0.7689
52-Wk Range,['71.22 - 103.77']
Annual Dividend $,1.59
Annual Dividend %,0.016
Ask,105.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,97.0
Bid Size,100.0
Closing Price,99.47
Day Change $,0.48
Day Change %,0.0048
Day High,100.51
Day Low,99.19
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.16
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.284
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",46.1
Prev Close,98.99
Short Interest,0.0241
Today's Open,99.23
Volume,84670.0
Volume 10-day Avg,174046.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.06666666666666665
Growth 1yr High Est,0.02400000000000002
Growth 1yr Consensus Est,0.04533333333333334
Growth 2yr Low Est,0.060677083333333326
Growth 2yr High Est,0.04129687500000001
Growth 2yr Consensus Est,0.05098697916666667
Growth 5yr Low Est,0.06426091269841268
Growth 5yr High Est,0.06130511196769454
Growth 5yr Consensus Est,0.06278301233305361
Growth 5yr Actual/Est,0.04830206022859784
Growth 3yr Historic,0.0336497930717351
Price/Earnings (TTM),46.09873
Price/Sales (TTM),7.61519
Price/Book (MRQ),5.21117
Price/Cash Flow (TTM),30.3234
5yr Low,50.06
5yr High,103.77
5yr Avg Return,0.11125
EPS Growth 5yr,0.0948001
Revenue Growth 5yr,0.0272588
Dividend Growth 5yr,0.0890213
Short Int Current Month,883458.0
Short Int Prev Month,833191.0
Short Int Pct of Float,0.0241319
Days to Cover,5.09597
Float,36.65075
Shares Outstanding,36.9609
Institutions Holding Shares,431.0
FCF Growth 5yr,-2.7809704766487755
"Price/Earnings (TTM, GAAP)",46.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4633
Operating Profit Margin (TTM),0.26730000000000004
Net Profit Margin (TTM),0.1659
Annual Dividend Yield,0.016
Dividend Change %,0.09380000000000001
"Dividend Growth Rate, 3 Years",0.09720000000000001
EPS Growth (MRQ),0.2858
EPS Growth (TTM),-0.14980000000000002
Revenue Growth (MRQ),0.1009
Revenue Growth (TTM),-0.0467
Return On Equity (TTM),0.11539999999999999
Return On Assets (TTM),0.0415
Return On Investment (TTM),0.0481
Revenue Per Employee (TTM),597506.0
Total Debt/Total Capital (MRQ),0.494
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.34
Interest Coverage (MRQ),6.05
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-30 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2010-08-15 00:00:00
