,AWR
Price/Earnings (TTM),46.09873
Price/Sales (TTM),7.61519
Price/Book (MRQ),5.21117
Price/Cash Flow (TTM),30.3234
5yr Low,50.06
5yr High,103.77
5yr Avg Return,0.11125
EPS Growth 5yr,0.0948001
Revenue Growth 5yr,0.0272588
Dividend Growth 5yr,0.0890213
Short Int Current Month,883458.0
Short Int Prev Month,833191.0
Short Int Pct of Float,0.0241319
Days to Cover,5.09597
Float,36.65075
Shares Outstanding,36.9609
Institutions Holding Shares,431.0
% Held by Institutions,0.768904
FCF Growth 5yr,-2.7809704766487755
