,RSI
% Above Low,0.003
% Held by Institutions,0.5611999999999999
52-Wk Range,['3.31 - 18.90']
Annual Dividend $,
Annual Dividend %,
Ask,3.32
Ask Size,1500.0
B/A Ratio,1.0
B/A Size,1500x1500
Beta,
Bid,3.32
Bid Size,1500.0
Day Change $,-0.15
Day Change %,-0.0432
Day High,3.5
Day Low,3.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.65
Ex-dividend Date,No dividend
Historical Volatility,0.778
Last (size),100.0
Last (time),1:20p ET 11/28/22
Market Cap,213.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.47
Price,3.32
Short Interest,0.0572
Today's Open,3.47
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5555555555555556
Growth 2yr High Est,-0.6666666666666666
Growth 2yr Consensus Est,-0.6111111111111112
Growth 5yr Low Est,-0.5555555555555556
Growth 5yr High Est,-0.6666666666666666
Growth 5yr Consensus Est,-0.6111111111111112
Growth 5yr Actual/Est,16.468074409250878
Growth 3yr Historic,16.666666666666668
Price/Earnings (TTM),
Price/Sales (TTM),1.3731
Price/Book (MRQ),12.15829
Price/Cash Flow (TTM),
5yr Low,3.34
5yr High,26.55
5yr Avg Return,0.07636666666666665
Short Int Current Month,3160849.0
Short Int Prev Month,4580453.0
Short Int Pct of Float,0.057180299999999996
Days to Cover,3.21866
Float,58.06709
Shares Outstanding,220.5043
Institutions Holding Shares,152.0
FCF Growth 5yr,0.03792876857173085
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.292
Operating Profit Margin (TTM),-0.2396
Net Profit Margin (TTM),-0.25370000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2074
EPS Growth (TTM),-1.3861
Revenue Growth (MRQ),0.029700000000000004
Revenue Growth (TTM),0.21780000000000002
Return On Equity (TTM),-0.5175
Return On Assets (TTM),-0.3693
Return On Investment (TTM),-1.6095
Revenue Per Employee (TTM),1190690.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-94.06
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-06-07 00:00:00
theStreet since,2022-06-07 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
