,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,25.4,26.55,17.24,,,,,
low,9.51,9.47,3.34,,,,,
change,1.2505,-0.2217,-0.7997,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,281030.0,232248.0,201682.0,195313.0,Balance Sheet
"Trade Accts Recvble, Net",,,,5829.0,7264.0,7153.0,7000.0,Balance Sheet
Other Receivables,,,,28159.0,30757.0,25464.0,20206.0,Balance Sheet
"Total Receivables, Net",,,,33988.0,38021.0,32617.0,27206.0,Balance Sheet
Prepaid Expenses,,,,7433.0,9924.0,11133.0,10909.0,Balance Sheet
"Other Curr. Assets, Total",,,,19299.0,28761.0,26625.0,30028.0,Balance Sheet
Total Current Assets,,,,341750.0,308954.0,272057.0,263456.0,Balance Sheet
Buildings,,,,494.0,,,,Balance Sheet
Machinery/Equipment,,,,5113.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,5218.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,10825.0,,,,Balance Sheet
Accumulated Depreciation,,,,-2031.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,8794.0,9586.0,9715.0,10784.0,Balance Sheet
Intangibles - Gross,,,,59248.0,,70758.0,79305.0,Balance Sheet
Accum. Intangible Amort.,,,,-5868.0,,-10535.0,-13941.0,Balance Sheet
Intangibles - Net,,,,53380.0,53522.0,60223.0,65364.0,Balance Sheet
Other Long Term Assets,,,,4807.0,4630.0,4600.0,5173.0,Balance Sheet
Total Assets,,,,408731.0,376692.0,346595.0,344777.0,Balance Sheet
Accounts Payable,,,,6501.0,1257.0,3539.0,8851.0,Balance Sheet
Accrued Expenses,,,,47791.0,58140.0,54130.0,62249.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,1415.0,1468.0,1495.0,1511.0,Balance Sheet
Other Payables,,,,1005.0,279.0,640.0,659.0,Balance Sheet
Other Current Liabilities,,,,27222.0,38150.0,33556.0,38159.0,Balance Sheet
"Other Curr. Lblts, Total",,,,29642.0,39897.0,35691.0,40329.0,Balance Sheet
Total Current Liabilities,,,,83934.0,99294.0,93360.0,111429.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Minority Interest,,,,222265.0,185122.0,168474.0,154330.0,Balance Sheet
"Other Liabilities, Total",,,,17096.0,16516.0,16042.0,16096.0,Balance Sheet
Total Liabilities,,,,323295.0,300932.0,277876.0,281855.0,Balance Sheet
Common Stock,,,,22.0,22.0,22.0,22.0,Balance Sheet
Additional Paid-In Capital,,,,167270.0,171873.0,173723.0,174937.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-81381.0,-96078.0,-104410.0,-111023.0,Balance Sheet
"Other Equity, Total",,,,-475.0,-57.0,-616.0,-1014.0,Balance Sheet
Total Equity,,,,85436.0,75760.0,68719.0,62922.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,408731.0,376692.0,346595.0,344777.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,61118.0,63927.0,64057.0,64094.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,158702.0,155894.0,156374.0,156374.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,219821.0,219821.0,220430.0,220468.0,Balance Sheet
