,RSI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,114.03,Valuation,
Price/Sales (TTM),1.37,5.62,Valuation,0.24377224199288258
Price/Book (MRQ),12.16,8.49,Valuation,1.4322732626619552
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.292,0.4054,Profitability,0.7202762703502713
Operating Profit Margin (TTM),-0.2396,0.163,Profitability,-1.4699386503067484
Net Profit Margin (TTM),-0.25370000000000004,0.0779,Profitability,-3.256739409499359
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),0.2074,0.3309,Gowth rates,0.6267754608643095
EPS Growth (TTM),-1.3861,2.1359,Gowth rates,-0.6489536026967555
Revenue Growth (MRQ),0.029700000000000004,0.38439999999999996,Gowth rates,0.07726326742976068
Revenue Growth (TTM),0.21780000000000002,0.7695000000000001,Gowth rates,0.28304093567251465
Return On Equity (TTM),-0.5175,0.19090000000000001,Effectiveness,-2.7108433734939754
Return On Assets (TTM),-0.3693,0.0758,Effectiveness,-4.872031662269129
Return On Investment (TTM),-1.6095,0.1005,Effectiveness,-16.014925373134325
Revenue Per Employee (TTM),1190690.0,285753.0,Effectiveness,4.166850391771915
Total Debt/Total Capital (MRQ),0.0,1.1596,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.002,Financial strength,
Quick Ratio (MRQ),,0.81,Financial strength,
Interest Coverage (MRQ),-94.06,40.22,Financial strength,-2.338637493784187
