,DHI
% Above Low,0.41590000000000005
% Held by Institutions,0.852
52-Wk Range,['59.25 - 110.45']
Annual Dividend $,1.0
Annual Dividend %,0.011899999999999999
Ask,84.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,78.83
Bid Size,100.0
Closing Price,83.89
Day Change $,-0.61
Day Change %,-0.0072
Day High,84.18
Day Low,83.47
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",16.53
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.443
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,28.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.07
Prev Close,84.5
Short Interest,0.0482
Today's Open,83.55
Volume,953145.0
Volume 10-day Avg,2516081.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.6076585059635907
Growth 1yr High Est,-0.22042700519330638
Growth 1yr Consensus Est,-0.41404275557844855
Growth 2yr Low Est,-0.40382925298179534
Growth 2yr High Est,-0.03767464249302621
Growth 2yr Consensus Est,-0.22075194773741078
Growth 5yr Low Est,-0.10396128602542225
Growth 5yr High Est,0.15050765390332757
Growth 5yr Consensus Est,0.02327318393895267
Growth 5yr Actual/Est,0.20897332723541928
Growth 3yr Historic,0.3067518844487347
Price/Earnings (TTM),5.07368
Price/Sales (TTM),0.86281
Price/Book (MRQ),1.48761
Price/Cash Flow (TTM),4.83299
5yr Low,25.51
5yr High,110.45
5yr Avg Return,0.14926666666666663
EPS Growth 5yr,0.43211489999999997
Revenue Growth 5yr,0.1889641
Dividend Growth 5yr,0.176079
Short Int Current Month,14574134.0
Short Int Prev Month,13719688.0
Short Int Pct of Float,0.0482087
Days to Cover,3.86861
Float,302.3426
Shares Outstanding,344.3412
Institutions Holding Shares,1142.0
FCF Growth 5yr,0.5170885030048855
"Price/Earnings (TTM, GAAP)",5.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3154
Operating Profit Margin (TTM),0.2279
Net Profit Margin (TTM),0.1761
Annual Dividend Yield,0.011899999999999999
Dividend Change %,0.125
"Dividend Growth Rate, 3 Years",0.14470000000000002
EPS Growth (MRQ),-0.0001
EPS Growth (TTM),0.4458
Revenue Growth (MRQ),0.0969
Revenue Growth (TTM),0.2054
Return On Equity (TTM),0.3417
Return On Assets (TTM),0.2169
Return On Investment (TTM),0.28190000000000004
Revenue Per Employee (TTM),2529267.0
Total Debt/Total Capital (MRQ),0.2347
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),266.92
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-31 00:00:00
cfra since,2022-10-31 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-07-22 00:00:00
