,IMAX
% Above Low,0.3298
% Held by Institutions,0.7733
52-Wk Range,['12.13 - 21.25']
Annual Dividend $,
Annual Dividend %,
Ask,16.19
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,1.2
Bid,15.38
Bid Size,800.0
Closing Price,16.13
Day Change $,0.35
Day Change %,0.0222
Day High,16.16
Day Low,15.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.27
Ex-dividend Date,No dividend
Historical Volatility,0.489
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,901.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,15.78
Short Interest,0.0776
Today's Open,15.74
Volume,305852.0
Volume 10-day Avg,721635.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-1.005050505050505
Growth 1yr High Est,-1.1477272727272727
Growth 1yr Consensus Est,-1.0763888888888888
Growth 2yr Low Est,21.997474747474747
Growth 2yr High Est,0.8876748251748251
Growth 2yr Consensus Est,11.442574786324787
Growth 5yr Low Est,10.222141629056523
Growth 5yr High Est,-0.2212569270352288
Growth 5yr Consensus Est,5.000442351010647
Growth 5yr Actual/Est,-0.10410052910052903
Growth 3yr Historic,-0.9314814814814815
Price/Earnings (TTM),
Price/Sales (TTM),2.89997
Price/Book (MRQ),3.30305
Price/Cash Flow (TTM),18.96907
5yr Low,6.01
5yr High,26.55
5yr Avg Return,-0.07288333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0754658
Dividend Growth 5yr,
Short Int Current Month,3572374.0
Short Int Prev Month,4199222.0
Short Int Pct of Float,0.077584
Days to Cover,4.06738
Float,46.09519
Shares Outstanding,55.97344
Institutions Holding Shares,198.0
FCF Growth 5yr,0.9654807242095473
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.551
Operating Profit Margin (TTM),0.0426
Net Profit Margin (TTM),-0.034
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.2119
EPS Growth (TTM),0.7026000000000001
Revenue Growth (MRQ),-0.0705
Revenue Growth (TTM),0.5389
Return On Equity (TTM),-0.050199999999999995
Return On Assets (TTM),-0.012700000000000001
Return On Investment (TTM),-0.0167
Revenue Per Employee (TTM),468167.0
Total Debt/Total Capital (MRQ),0.4051
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),-2.39
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-02 00:00:00
researchTeam since,2022-09-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
