,IMAX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-577.59,Valuation,
Price/Sales (TTM),2.9,6.3,Valuation,0.4603174603174603
Price/Book (MRQ),3.3,7.63,Valuation,0.4325032765399738
"PEG Ratio (TTM, GAAP)",,-24.63,Valuation,
Gross Profit Margin (TTM),0.551,0.41159999999999997,Profitability,1.3386783284742472
Operating Profit Margin (TTM),0.0426,0.0672,Profitability,0.6339285714285715
Net Profit Margin (TTM),-0.034,0.0336,Profitability,-1.011904761904762
Annual Dividend Yield,,0.0015,Dividend,
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),-2.2119,-1.1815,Gowth rates,1.8721117223867965
EPS Growth (TTM),0.7026000000000001,0.2345,Gowth rates,2.9961620469083163
Revenue Growth (MRQ),-0.0705,0.2214,Gowth rates,-0.3184281842818428
Revenue Growth (TTM),0.5389,0.44170000000000004,Gowth rates,1.2200588634820013
Return On Equity (TTM),-0.050199999999999995,0.1716,Effectiveness,-0.2925407925407925
Return On Assets (TTM),-0.012700000000000001,0.0233,Effectiveness,-0.5450643776824035
Return On Investment (TTM),-0.0167,0.027999999999999997,Effectiveness,-0.5964285714285715
Revenue Per Employee (TTM),468167.0,999442.0,Effectiveness,0.46842838303773504
Total Debt/Total Capital (MRQ),0.4051,0.4204,Financial strength,0.9636060894386299
Change in Debt/Total Capital Quarter over Quarter,0.0008,0.0014000000000000002,Financial strength,0.5714285714285714
Quick Ratio (MRQ),,0.41,Financial strength,
Interest Coverage (MRQ),-2.39,-3.12,Financial strength,0.7660256410256411
