,TPH
% Above Low,0.22690000000000002
% Held by Institutions,1.0117
52-Wk Range,['14.59 - 28.29']
Annual Dividend $,
Annual Dividend %,
Ask,22.62
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,1.4
Bid,8.01
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,17.9
Day Change $,-0.35
Day Change %,-0.0192
Day High,18.2
Day Low,17.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.01
Ex-dividend Date,No dividend
Historical Volatility,0.456
Last (size),657.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.64
Prev Close,18.25
Short Interest,0.0414
Today's Open,18.08
Volume,500731.0
Volume 10-day Avg,659899.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.2755102040816326
Growth 1yr High Est,0.2548076923076923
Growth 1yr Consensus Est,0.26515894819466246
Growth 2yr Low Est,-0.16224489795918368
Growth 2yr High Est,-0.04692565576186264
Growth 2yr Consensus Est,-0.10458527686052316
Growth 5yr Low Est,-0.16224489795918368
Growth 5yr High Est,-0.04692565576186264
Growth 5yr Consensus Est,-0.10458527686052316
Growth 5yr Actual/Est,0.2894913286714019
Growth 3yr Historic,0.34370199692780345
Price/Earnings (TTM),3.6419
Price/Sales (TTM),0.45634
Price/Book (MRQ),0.7014
Price/Cash Flow (TTM),3.3399
5yr Low,5.89
5yr High,28.29
5yr Avg Return,0.061350000000000016
EPS Growth 5yr,0.2780146
Revenue Growth 5yr,0.10610720000000001
Dividend Growth 5yr,
Short Int Current Month,4105653.0
Short Int Prev Month,4443862.0
Short Int Pct of Float,0.041437299999999996
Days to Cover,3.87052
Float,99.08121
Shares Outstanding,100.914
Institutions Holding Shares,353.0
FCF Growth 5yr,-0.22888676767322372
"Price/Earnings (TTM, GAAP)",3.64
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.26940000000000003
Operating Profit Margin (TTM),0.171
Net Profit Margin (TTM),0.13
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.09550000000000002
EPS Growth (TTM),0.3605
Revenue Growth (MRQ),0.053200000000000004
Revenue Growth (TTM),0.0529
Return On Equity (TTM),0.2091
Return On Assets (TTM),0.11970000000000001
Return On Investment (TTM),0.1362
Revenue Per Employee (TTM),2903411.0
Total Debt/Total Capital (MRQ),0.33770000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),1634.72
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-27 00:00:00
theStreet since,2022-09-27 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
