,GMED
% Below High,0.1252
% Held by Institutions,0.9721
52-Wk Range,['52.60 - 81.78']
Annual Dividend $,
Annual Dividend %,
Ask,85.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,48.0
Bid Size,100.0
Closing Price,71.54
Day Change $,0.4
Day Change %,0.005600000000000001
Day High,72.15
Day Low,71.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.52
Ex-dividend Date,No dividend
Historical Volatility,0.378
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,7.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.14
Prev Close,71.14
Short Interest,0.0756
Today's Open,71.21
Volume,194348.0
Volume 10-day Avg,656224.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.014999999999999902
Growth 1yr High Est,-0.01449275362318836
Growth 1yr Consensus Est,0.0002536231884057716
Growth 2yr Low Est,0.05676108374384237
Growth 2yr High Est,0.30647911338448425
Growth 2yr Consensus Est,0.1816200985641633
Growth 5yr Low Est,0.07423853003760167
Growth 5yr High Est,0.20237250466912074
Growth 5yr Consensus Est,0.13830551735336122
Growth 5yr Actual/Est,0.1140249203129528
Growth 3yr Historic,0.06845238095238096
Price/Earnings (TTM),47.14457
Price/Sales (TTM),7.15443
Price/Book (MRQ),4.04847
Price/Cash Flow (TTM),31.97515
5yr Low,33.41
5yr High,84.23
5yr Avg Return,0.11871666666666664
EPS Growth 5yr,0.0587913
Revenue Growth 5yr,0.111802
Dividend Growth 5yr,
Short Int Current Month,5785981.0
Short Int Prev Month,5378797.0
Short Int Pct of Float,0.0755516
Days to Cover,6.01976
Float,76.59413
Shares Outstanding,99.84256
Institutions Holding Shares,481.0
FCF Growth 5yr,0.06567361924891553
"Price/Earnings (TTM, GAAP)",47.14
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7447
Operating Profit Margin (TTM),0.1924
Net Profit Margin (TTM),0.1555
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.10300000000000001
EPS Growth (TTM),-0.1655
Revenue Growth (MRQ),-0.036000000000000004
Revenue Growth (TTM),0.0604
Return On Equity (TTM),0.0891
Return On Assets (TTM),0.0799
Return On Investment (TTM),0.0858
Revenue Per Employee (TTM),415986.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.39
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2014-11-04 00:00:00
researchTeam since,2021-02-18 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-02-18 00:00:00
ford since,2021-02-12 00:00:00
marketEdge opinion since,
