,GMED,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",47.14,61.36,Valuation,0.7682529335071708
Price/Sales (TTM),7.15,9.8,Valuation,0.7295918367346939
Price/Book (MRQ),4.05,10.31,Valuation,0.39282250242483024
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7447,0.6196,Profitability,1.2019044544867656
Operating Profit Margin (TTM),0.1924,0.047,Profitability,4.093617021276596
Net Profit Margin (TTM),0.1555,0.009300000000000001,Profitability,16.72043010752688
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.10300000000000001,-0.4858,Gowth rates,0.21202140798682587
EPS Growth (TTM),-0.1655,-0.2029,Gowth rates,0.8156727451946773
Revenue Growth (MRQ),-0.036000000000000004,0.1161,Gowth rates,-0.310077519379845
Revenue Growth (TTM),0.0604,0.18300000000000002,Gowth rates,0.33005464480874314
Return On Equity (TTM),0.0891,0.1068,Effectiveness,0.8342696629213483
Return On Assets (TTM),0.0799,0.0622,Effectiveness,1.2845659163987138
Return On Investment (TTM),0.0858,0.0732,Effectiveness,1.1721311475409837
Revenue Per Employee (TTM),415986.0,403586.0,Effectiveness,1.0307245543700723
Total Debt/Total Capital (MRQ),0.0,0.3161,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0125,Financial strength,
Quick Ratio (MRQ),4.39,2.25,Financial strength,1.951111111111111
Interest Coverage (MRQ),,14.99,Financial strength,
