,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,42.0,57.83,60.15,66.65,84.23,81.78,,,,,
low,36.62,41.19,38.01,33.41,59.37,52.6,,,,,
change,0.0844,0.0103,0.4123,0.1054,0.11080000000000001,-0.010900000000000002,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,193.0,230.0,151.0,134.0,Balance Sheet
Short Term Investments,,,,,,,250.0,244.0,257.0,271.0,Balance Sheet
Cash and Short Term Invs,,,,,,,443.0,473.0,408.0,405.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,169.0,170.0,197.0,211.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-5.0,-4.0,-4.0,-4.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,164.0,166.0,193.0,206.0,Balance Sheet
Other Receivables,,,,,,,1.0,4.0,6.0,2.0,Balance Sheet
"Total Receivables, Net",,,,,,,166.0,170.0,199.0,209.0,Balance Sheet
Invent. - Finished Goods,,,,,,,178.0,187.0,195.0,206.0,Balance Sheet
Invent. - Work In Progress,,,,,,,17.0,18.0,17.0,20.0,Balance Sheet
Invent. - Raw Materials,,,,,,,42.0,49.0,54.0,56.0,Balance Sheet
Total Inventory,,,,,,,237.0,254.0,266.0,282.0,Balance Sheet
Prepaid Expenses,,,,,,,18.0,20.0,19.0,24.0,Balance Sheet
Total Current Assets,,,,,,,865.0,917.0,891.0,920.0,Balance Sheet
Buildings,,,,,,,45.0,47.0,47.0,47.0,Balance Sheet
Land/Improvements,,,,,,,8.0,8.0,8.0,8.0,Balance Sheet
Machinery/Equipment,,,,,,,474.0,486.0,506.0,514.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,5.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,532.0,541.0,561.0,569.0,Balance Sheet
Accumulated Depreciation,,,,,,,-306.0,-314.0,-322.0,-333.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,226.0,228.0,239.0,236.0,Balance Sheet
"Goodwill, Net",,,,,,,180.0,179.0,183.0,182.0,Balance Sheet
Intangibles - Gross,,,,,,,141.0,139.0,136.0,134.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-72.0,-75.0,-77.0,-80.0,Balance Sheet
Intangibles - Net,,,,,,,69.0,64.0,59.0,54.0,Balance Sheet
Long Term Investments,,,,,,,562.0,547.0,474.0,504.0,Balance Sheet
Other Long Term Assets,,,,,,,31.0,34.0,34.0,36.0,Balance Sheet
Total Assets,,,,,,,1957.0,1999.0,1915.0,1977.0,Balance Sheet
Accounts Payable,,,,,,,22.0,26.0,34.0,32.0,Balance Sheet
