,CORT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.24,26.92,Valuation,0.9747399702823178
Price/Sales (TTM),7.07,18.11,Valuation,0.39039204859193816
Price/Book (MRQ),5.93,11.51,Valuation,0.5152041702867072
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.9868000000000001,0.6773,Profitability,1.4569614646390079
Operating Profit Margin (TTM),0.3189,-0.8239000000000001,Profitability,-0.38706153659424686
Net Profit Margin (TTM),0.2939,-0.8640000000000001,Profitability,-0.340162037037037
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),0.2493,0.0883,Gowth rates,2.8233295583238958
EPS Growth (TTM),0.1855,0.5870000000000001,Gowth rates,0.3160136286201022
Revenue Growth (MRQ),-0.016,0.0441,Gowth rates,-0.36281179138321995
Revenue Growth (TTM),0.1268,0.1761,Gowth rates,0.720045428733674
Return On Equity (TTM),0.2306,0.30160000000000003,Effectiveness,0.7645888594164455
Return On Assets (TTM),0.2089,0.092,Effectiveness,2.2706521739130436
Return On Investment (TTM),0.22899999999999998,0.13820000000000002,Effectiveness,1.6570188133140373
Revenue Per Employee (TTM),1670689.0,1425813.0,Effectiveness,1.1717448220769484
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),8.41,1.22,Financial strength,6.89344262295082
Interest Coverage (MRQ),,26.08,Financial strength,
