,CORT
% Below High,0.134
% Held by Institutions,0.8055
52-Wk Range,['15.83 - 30.14']
Annual Dividend $,
Annual Dividend %,
Ask,29.0
Ask Size,100.0
B/A Ratio,55.0
B/A Size,5500x100
Beta,0.5
Bid,23.5
Bid Size,5500.0
Closing Price,26.1
Day Change $,0.11
Day Change %,0.0042
Day High,26.29
Day Low,26.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.99
Ex-dividend Date,No dividend
Historical Volatility,0.512
Last (size),41.0
Last (time),1:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.24
Prev Close,25.99
Short Interest,0.1707
Today's Open,26.02
Volume,86883.0
Volume 10-day Avg,413237.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.13749999999999996
Growth 1yr High Est,0.05434782608695654
Growth 1yr Consensus Est,0.09592391304347825
Growth 2yr Low Est,0.008310439560439531
Growth 2yr High Est,0.13026669654863288
Growth 2yr Consensus Est,0.0692885680545362
Growth 5yr Low Est,0.017313114517061856
Growth 5yr High Est,0.08281460682424807
Growth 5yr Consensus Est,0.050063860670654964
Growth 5yr Actual/Est,0.05976239908085895
Growth 3yr Historic,0.03773873185637894
Price/Earnings (TTM),26.24487
Price/Sales (TTM),7.06613
Price/Book (MRQ),5.93338
Price/Cash Flow (TTM),23.85962
5yr Low,9.14
5yr High,31.18
5yr Avg Return,0.14968333333333333
EPS Growth 5yr,0.6636405999999999
Revenue Growth 5yr,0.35098480000000004
Dividend Growth 5yr,
Short Int Current Month,16335789.0
Short Int Prev Month,17050981.0
Short Int Pct of Float,0.1707433
Days to Cover,20.03934
Float,95.67155
Shares Outstanding,107.6498
Institutions Holding Shares,311.0
FCF Growth 5yr,0.11571065456757083
"Price/Earnings (TTM, GAAP)",26.24
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9868000000000001
Operating Profit Margin (TTM),0.3189
Net Profit Margin (TTM),0.2939
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2493
EPS Growth (TTM),0.1855
Revenue Growth (MRQ),-0.016
Revenue Growth (TTM),0.1268
Return On Equity (TTM),0.2306
Return On Assets (TTM),0.2089
Return On Investment (TTM),0.22899999999999998
Revenue Per Employee (TTM),1670689.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),8.41
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-07-09 00:00:00
