,DHR
% Above Low,0.1426
% Held by Institutions,0.7856000000000001
52-Wk Range,['233.71 - 331.69']
Annual Dividend $,1.0
Annual Dividend %,0.0037
Ask,285.0
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.8
Bid,266.47
Bid Size,400.0
Closing Price,267.04
Day Change $,3.69
Day Change %,0.013999999999999999
Day High,267.45
Day Low,264.42
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",9.06
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.336
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,194.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.48
Prev Close,263.35
Short Interest,0.005600000000000001
Today's Open,264.96
Volume,868330.0
Volume 10-day Avg,2244888.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.10957446808510629
Growth 1yr High Est,0.0663366336633664
Growth 1yr Consensus Est,0.08795555087423634
Growth 2yr Low Est,0.010204300197874328
Growth 2yr High Est,0.04848865109352163
Growth 2yr Consensus Est,0.029346475645697978
Growth 5yr Low Est,0.24702018629614958
Growth 5yr High Est,0.2573128140757756
Growth 5yr Consensus Est,0.2521665001859626
Growth 5yr Actual/Est,0.26514609122555083
Growth 3yr Historic,0.2550779485267227
Price/Earnings (TTM),29.47823
Price/Sales (TTM),6.22065
Price/Book (MRQ),4.2893
Price/Cash Flow (TTM),21.88149
5yr Low,91.84
5yr High,333.96
5yr Avg Return,0.2205666666666667
EPS Growth 5yr,0.2250563
Revenue Growth 5yr,0.1177356
Dividend Growth 5yr,0.06908299999999999
Short Int Current Month,3608445.0
Short Int Prev Month,3909001.0
Short Int Pct of Float,0.0055685
Days to Cover,1.15829
Float,648.1719
Shares Outstanding,727.9627
Institutions Holding Shares,2712.0
FCF Growth 5yr,0.24716165381018038
"Price/Earnings (TTM, GAAP)",29.48
"PEG Ratio (TTM, GAAP)",5.0
Gross Profit Margin (TTM),0.6065
Operating Profit Margin (TTM),0.2704
Net Profit Margin (TTM),0.2165
Annual Dividend Yield,0.0037
Dividend Change %,0.1408
"Dividend Growth Rate, 3 Years",0.0932
EPS Growth (MRQ),-0.0663
EPS Growth (TTM),0.1679
Revenue Growth (MRQ),-0.011399999999999999
Revenue Growth (TTM),0.1135
Return On Equity (TTM),0.1553
Return On Assets (TTM),0.0827
Return On Investment (TTM),0.0913
Revenue Per Employee (TTM),400641.0
Total Debt/Total Capital (MRQ),0.29059999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),1.38
Interest Coverage (MRQ),20.77
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-04-12 00:00:00
cfra since,2014-07-17 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2009-05-18 00:00:00
