,SHYF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.86,24.01,Valuation,0.9521032902957101
Price/Sales (TTM),0.87,3.06,Valuation,0.28431372549019607
Price/Book (MRQ),3.5,7.44,Valuation,0.4704301075268817
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.17300000000000001,0.32799999999999996,Profitability,0.527439024390244
Operating Profit Margin (TTM),0.0431,0.0198,Profitability,2.1767676767676765
Net Profit Margin (TTM),0.0391,-0.0086,Profitability,-4.546511627906977
Annual Dividend Yield,0.008,0.0143,Dividend,0.5594405594405595
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",0.0,0.0885,Dividend,0.0
EPS Growth (MRQ),2.2608,0.3518,Gowth rates,6.426378624218306
EPS Growth (TTM),-0.3014,0.16149999999999998,Gowth rates,-1.8662538699690405
Revenue Growth (MRQ),0.23199999999999998,0.196,Gowth rates,1.183673469387755
Revenue Growth (TTM),0.1313,0.1475,Gowth rates,0.8901694915254238
Return On Equity (TTM),0.1576,0.2859,Effectiveness,0.5512416928996152
Return On Assets (TTM),0.0799,0.0851,Effectiveness,0.9388954171562868
Return On Investment (TTM),0.11960000000000001,0.12490000000000001,Effectiveness,0.9575660528422738
Revenue Per Employee (TTM),263803.0,343373.0,Effectiveness,0.7682694911947067
Total Debt/Total Capital (MRQ),0.26420000000000005,0.6352000000000001,Financial strength,0.41593198992443325
Change in Debt/Total Capital Quarter over Quarter,0.132,0.0189,Financial strength,6.984126984126984
Quick Ratio (MRQ),1.16,1.07,Financial strength,1.0841121495327102
Interest Coverage (MRQ),19.62,20.9,Financial strength,0.9387559808612441
