,SHYF
% Above Low,0.3719
% Held by Institutions,0.8495999999999999
52-Wk Range,['17.66 - 51.34']
Annual Dividend $,0.2
Annual Dividend %,0.008
Ask,24.27
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,24.23
Bid Size,100.0
Day Change $,-0.68
Day Change %,-0.0273
Day High,24.86
Day Low,24.17
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.09
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.498
Last (size),260.0
Last (time),2:14p ET 11/28/22
Market Cap,849.8M
"P/E Ratio (TTM, GAAP)",22.86
Prev Close,24.91
Price,24.23
Short Interest,0.0264
Today's Open,24.72
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.4381443298969072
Growth 1yr High Est,-0.3921568627450981
Growth 1yr Consensus Est,-0.41515059632100265
Growth 2yr Low Est,0.14331315615246376
Growth 2yr High Est,0.17892156862745096
Growth 2yr Consensus Est,0.16111736238995736
Growth 5yr Low Est,0.25964466820420656
Growth 5yr High Est,0.28965141612200435
Growth 5yr Consensus Est,0.27464804216310545
Growth 5yr Actual/Est,0.23339866740040224
Growth 3yr Historic,0.158220991815118
Price/Earnings (TTM),22.85929
Price/Sales (TTM),0.87148
Price/Book (MRQ),3.49792
Price/Cash Flow (TTM),16.7014
5yr Low,6.7
5yr High,54.5
5yr Avg Return,0.2948833333333333
EPS Growth 5yr,0.5006442
Revenue Growth 5yr,0.1091733
Dividend Growth 5yr,0.0
Short Int Current Month,847109.0
Short Int Prev Month,799712.0
Short Int Pct of Float,0.0264088
Days to Cover,3.86732
Float,32.11324
Shares Outstanding,35.07092
Institutions Holding Shares,245.0
FCF Growth 5yr,-0.3309939045472736
"Price/Earnings (TTM, GAAP)",22.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.17300000000000001
Operating Profit Margin (TTM),0.0431
Net Profit Margin (TTM),0.0391
Annual Dividend Yield,0.008
Dividend Change %,
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),2.2608
EPS Growth (TTM),-0.3014
Revenue Growth (MRQ),0.23199999999999998
Revenue Growth (TTM),0.1313
Return On Equity (TTM),0.1576
Return On Assets (TTM),0.0799
Return On Investment (TTM),0.11960000000000001
Revenue Per Employee (TTM),263803.0
Total Debt/Total Capital (MRQ),0.26420000000000005
Change in Debt/Total Capital Quarter over Quarter,0.132
Quick Ratio (MRQ),1.16
Interest Coverage (MRQ),19.62
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-05-06 00:00:00
theStreet since,2022-05-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
marketEdge opinion since,
