,WMS
Price/Earnings (TTM),17.7718
Price/Sales (TTM),2.50285
Price/Book (MRQ),6.6819
Price/Cash Flow (TTM),13.29269
5yr Low,21.7
5yr High,153.36
5yr Avg Return,0.34885
EPS Growth 5yr,0.44318019999999997
Revenue Growth 5yr,0.1710876
Dividend Growth 5yr,0.1288813
Short Int Current Month,3337727.0
Short Int Prev Month,2772013.0
Short Int Pct of Float,0.0512428
Days to Cover,2.26634
Float,55.31413
Shares Outstanding,82.85573
Institutions Holding Shares,514.0
% Held by Institutions,0.842324
FCF Growth 5yr,0.5786594834880464
