,CHK
% Below High,0.0407
% Held by Institutions,0.9609000000000001
52-Wk Range,['56.75 - 107.31']
Annual Dividend $,10.03
Annual Dividend %,0.0974
Ask,104.8
Ask Size,2000.0
B/A Ratio,0.05
B/A Size,100x2000
Beta,
Bid,101.5
Bid Size,100.0
Closing Price,102.94
Day Change $,-0.52
Day Change %,-0.005
Day High,104.93
Day Low,102.25
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",16.44
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.469
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,13.8B
"P/E Ratio (TTM, GAAP)",6.26
Prev Close,103.46
Short Interest,0.06860000000000001
Today's Open,104.0
Volume,704213.0
Volume 10-day Avg,1414938.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.022842639593908642
Growth 2yr High Est,0.4005540166204986
Growth 2yr Consensus Est,0.18885568851329498
Growth 5yr Low Est,-0.022842639593908642
Growth 5yr High Est,0.4005540166204986
Growth 5yr Consensus Est,0.18885568851329498
Growth 5yr Actual/Est,0.6660816908278836
Growth 3yr Historic,0.0
Price/Earnings (TTM),6.26246
Price/Sales (TTM),1.3258
Price/Book (MRQ),1.96789
Price/Cash Flow (TTM),3.11309
5yr Low,40.0
5yr High,107.31
5yr Avg Return,0.5433
EPS Growth 5yr,
Revenue Growth 5yr,-0.059521899999999996
Dividend Growth 5yr,
Short Int Current Month,8767819.0
Short Int Prev Month,8648366.0
Short Int Pct of Float,0.0686308
Days to Cover,4.23651
Float,137.5338
Shares Outstanding,143.7517
Institutions Holding Shares,548.0
FCF Growth 5yr,0.4081997349239934
"Price/Earnings (TTM, GAAP)",6.26
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8334999999999999
Operating Profit Margin (TTM),0.2858
Net Profit Margin (TTM),0.2682
Annual Dividend Yield,0.0974
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2608
EPS Growth (TTM),5.7053
Revenue Growth (MRQ),-0.09570000000000001
Revenue Growth (TTM),1.6408000000000003
Return On Equity (TTM),0.5946
Return On Assets (TTM),0.2606
Return On Investment (TTM),0.3804
Revenue Per Employee (TTM),8001539.0
Total Debt/Total Capital (MRQ),0.2998
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),19.37
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-04 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2022-08-04 00:00:00
newConstructs since,
marketEdge opinion since,
