,CHK
Price/Earnings (TTM),6.26246
Price/Sales (TTM),1.3258
Price/Book (MRQ),1.96789
Price/Cash Flow (TTM),3.11309
5yr Low,40.0
5yr High,107.31
5yr Avg Return,0.5433
EPS Growth 5yr,
Revenue Growth 5yr,-0.059521899999999996
Dividend Growth 5yr,
Short Int Current Month,8767819.0
Short Int Prev Month,8648366.0
Short Int Pct of Float,0.0686308
Days to Cover,4.23651
Float,137.5338
Shares Outstanding,143.7517
Institutions Holding Shares,548.0
% Held by Institutions,0.960884
FCF Growth 5yr,0.4081997349239934
