,TITN
% Below High,0.0252
% Held by Institutions,0.8243
52-Wk Range,['21.50 - 36.37']
Annual Dividend $,
Annual Dividend %,
Ask,35.49
Ask Size,2300.0
Ask close,43.31
B/A Ratio,0.21739130434782608
B/A Size,500x2300
Beta,1.6
Bid,35.45
Bid Size,500.0
Bid close,27.23
Change Since Close,0.00| |(0.00%)
Closing Price,35.45
Day Change $,0.79
Day Change %,0.022799999999999997
Day High,35.72
Day Low,34.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.84
Ex-dividend Date,No dividend
Historical Volatility,0.47000000000000003
Last (size),26500.0
Last (time),4:00p ET 11/28/22
Last Trade,35.45
Market Cap,800.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.03
Prev Close,34.66
Short Interest,0.0209
Today's Open,34.24
Volume,265542.0
Volume 10-day Avg,118065.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,3.8734177215189876
Growth 1yr High Est,4.3125
Growth 1yr Consensus Est,4.092958860759493
Growth 2yr Low Est,1.8834621075127405
Growth 2yr High Est,2.1738970588235293
Growth 2yr Consensus Est,2.028679583168135
Growth 5yr Low Est,0.9417310537563702
Growth 5yr High Est,1.0869485294117647
Growth 5yr Consensus Est,1.0143397915840673
Growth 5yr Actual/Est,0.5694996510100725
Growth 3yr Historic,0.4900040184850311
Price/Earnings (TTM),9.02969
Price/Sales (TTM),0.40758
Price/Book (MRQ),1.65854
Price/Cash Flow (TTM),7.15819
5yr Low,6.96
5yr High,38.58
5yr Avg Return,0.19084999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.0713172
Dividend Growth 5yr,
Short Int Current Month,418138.0
Short Int Prev Month,473128.0
Short Int Pct of Float,0.0208663
Days to Cover,3.34363
Float,20.03896
Shares Outstanding,22.56793
Institutions Holding Shares,208.0
FCF Growth 5yr,-56.33568276571418
"Price/Earnings (TTM, GAAP)",9.03
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.197
Operating Profit Margin (TTM),0.0613
Net Profit Margin (TTM),0.0452
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4189
EPS Growth (TTM),1.6684
Revenue Growth (MRQ),0.0771
Revenue Growth (TTM),0.2398
Return On Equity (TTM),0.1977
Return On Assets (TTM),0.09050000000000001
Return On Investment (TTM),0.15130000000000002
Revenue Per Employee (TTM),838776.0
Total Debt/Total Capital (MRQ),0.43810000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),0.56
Interest Coverage (MRQ),47.01
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-14 00:00:00
theStreet since,2022-08-29 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
