,TITN
Price/Earnings (TTM),9.02969
Price/Sales (TTM),0.40758
Price/Book (MRQ),1.65854
Price/Cash Flow (TTM),7.15819
5yr Low,6.96
5yr High,38.58
5yr Avg Return,0.19084999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.0713172
Dividend Growth 5yr,
Short Int Current Month,418138.0
Short Int Prev Month,473128.0
Short Int Pct of Float,0.0208663
Days to Cover,3.34363
Float,20.03896
Shares Outstanding,22.56793
Institutions Holding Shares,208.0
% Held by Institutions,0.82429
FCF Growth 5yr,-56.33568276571418
