,TITN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.03,17.46,Valuation,0.5171821305841924
Price/Sales (TTM),0.41,2.11,Valuation,0.1943127962085308
Price/Book (MRQ),1.66,6.17,Valuation,0.26904376012965964
"PEG Ratio (TTM, GAAP)",,0.31,Valuation,
Gross Profit Margin (TTM),0.197,0.42710000000000004,Profitability,0.46125029267150547
Operating Profit Margin (TTM),0.0613,0.14730000000000001,Profitability,0.41615750169721655
Net Profit Margin (TTM),0.0452,0.0835,Profitability,0.5413173652694611
Annual Dividend Yield,,0.0125,Dividend,
Dividend Change %,,0.053099999999999994,Dividend,
"Dividend Growth Rate, 3 Years",,0.0517,Dividend,
EPS Growth (MRQ),0.4189,0.4814,Gowth rates,0.8701703365184877
EPS Growth (TTM),1.6684,0.5656,Gowth rates,2.94978783592645
Revenue Growth (MRQ),0.0771,0.1985,Gowth rates,0.38841309823677583
Revenue Growth (TTM),0.2398,0.2242,Gowth rates,1.0695807314897414
Return On Equity (TTM),0.1977,0.3129,Effectiveness,0.6318312559923297
Return On Assets (TTM),0.09050000000000001,0.1319,Effectiveness,0.6861258529188781
Return On Investment (TTM),0.15130000000000002,0.17420000000000002,Effectiveness,0.8685419058553386
Revenue Per Employee (TTM),838776.0,1897425.0,Effectiveness,0.4420601604806514
Total Debt/Total Capital (MRQ),0.43810000000000004,0.4449,Financial strength,0.9847156664418971
Change in Debt/Total Capital Quarter over Quarter,0.0012,0.0005,Financial strength,2.4
Quick Ratio (MRQ),0.56,1.09,Financial strength,0.5137614678899083
Interest Coverage (MRQ),47.01,26.1,Financial strength,1.801149425287356
