,ACM
% Below High,0.0086
% Held by Institutions,0.8632
52-Wk Range,['60.74 - 84.83']
Annual Dividend $,0.72
Annual Dividend %,0.0086
Ask,87.86
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,75.0
Bid Size,100.0
Closing Price,84.1
Day Change $,0.21
Day Change %,0.0025
Day High,84.54
Day Low,83.73
Dividend Pay Date,2023-01-20 00:00:00
"EPS (TTM, GAAP)",2.73
Ex-dividend,2023-01-03 00:00:00
Ex-dividend Date,01/03/23
Historical Volatility,0.302
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,11.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.85
Prev Close,83.89
Short Interest,0.014199999999999999
Today's Open,83.98
Volume,235794.0
Volume 10-day Avg,824536.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.08955223880597019
Growth 1yr High Est,0.08695652173913038
Growth 1yr Consensus Est,0.08825438027255028
Growth 2yr Low Est,0.09683091392353305
Growth 2yr High Est,0.15547826086956518
Growth 2yr Consensus Est,0.1261545873965491
Growth 5yr Low Est,0.2001831337294433
Growth 5yr High Est,0.20459112791826795
Growth 5yr Consensus Est,0.20238713082385562
Growth 5yr Actual/Est,0.1948183819121337
Growth 3yr Historic,0.13553109021936338
Price/Earnings (TTM),30.84642
Price/Sales (TTM),0.88685
Price/Book (MRQ),4.71779
Price/Cash Flow (TTM),19.91486
5yr Low,21.76
5yr High,84.83
5yr Avg Return,0.19648333333333334
EPS Growth 5yr,0.0503777
Revenue Growth 5yr,-0.0629934
Dividend Growth 5yr,
Short Int Current Month,1957609.0
Short Int Prev Month,2020425.0
Short Int Pct of Float,0.014214599999999999
Days to Cover,2.70821
Float,137.7183
Shares Outstanding,138.6503
Institutions Holding Shares,511.0
FCF Growth 5yr,0.6387590117919059
"Price/Earnings (TTM, GAAP)",30.85
"PEG Ratio (TTM, GAAP)",2.08
Gross Profit Margin (TTM),0.0645
Operating Profit Margin (TTM),0.0492
Net Profit Margin (TTM),0.0315
Annual Dividend Yield,0.0086
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.086
EPS Growth (TTM),0.3846
Revenue Growth (MRQ),0.056900000000000006
Revenue Growth (TTM),-0.0144
Return On Equity (TTM),0.15
Return On Assets (TTM),0.0363
Return On Investment (TTM),0.0709
Revenue Per Employee (TTM),262964.0
Total Debt/Total Capital (MRQ),0.45840000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),25.12
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-06-27 00:00:00
ford since,2022-03-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-02-10 00:00:00
