,SAH
% Below High,0.1398
% Held by Institutions,0.8395999999999999
52-Wk Range,['34.17 - 59.19']
Annual Dividend $,1.12
Annual Dividend %,0.022000000000000002
Ask,51.03
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.9
Bid,50.89
Bid Size,300.0
Day Change $,0.11
Day Change %,0.0022
Day High,51.34
Day Low,50.36
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",9.15
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.5
Last (size),20.0
Last (time),1:26p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.55
Prev Close,50.8
Price,50.91
Short Interest,0.2861
Today's Open,50.36
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,1.4664804469273744
Growth 1yr High Est,1.5272727272727273
Growth 1yr Consensus Est,1.496876587100051
Growth 2yr Low Est,0.6296162144036646
Growth 2yr High Est,0.7081379052602075
Growth 2yr Consensus Est,0.668877059831936
Growth 5yr Low Est,0.4286292454132144
Growth 5yr High Est,0.4714353648438442
Growth 5yr Consensus Est,0.45003230512852926
Growth 5yr Actual/Est,0.40631675483849616
Growth 3yr Historic,0.4139339826839827
Price/Earnings (TTM),5.55368
Price/Sales (TTM),0.13395
Price/Book (MRQ),1.6787
Price/Cash Flow (TTM),3.73692
5yr Low,9.0
5yr High,59.19
5yr Avg Return,0.2408
EPS Growth 5yr,0.31412
Revenue Growth 5yr,0.0495924
Dividend Growth 5yr,0.1812602
Short Int Current Month,4740014.0
Short Int Prev Month,4831688.0
Short Int Pct of Float,0.28613520000000003
Days to Cover,15.53762
Float,16.52075
Shares Outstanding,36.5778
Institutions Holding Shares,274.0
FCF Growth 5yr,8.160586194241484
"Price/Earnings (TTM, GAAP)",5.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1637
Operating Profit Margin (TTM),0.044500000000000005
Net Profit Margin (TTM),0.0271
Annual Dividend Yield,0.022000000000000002
Dividend Change %,0.15
"Dividend Growth Rate, 3 Years",0.2422
EPS Growth (MRQ),-0.048600000000000004
EPS Growth (TTM),0.2726
Revenue Growth (MRQ),-0.055999999999999994
Revenue Growth (TTM),0.155
Return On Equity (TTM),0.35590000000000005
Return On Assets (TTM),0.0902
Return On Investment (TTM),0.1449
Revenue Per Employee (TTM),1360004.0
Total Debt/Total Capital (MRQ),0.7183
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),0.33
Interest Coverage (MRQ),4.58
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-28 00:00:00
theStreet since,2021-05-14 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-28 00:00:00
ford since,2022-04-29 00:00:00
marketEdge opinion since,
