,TXT
% Below High,0.1235
% Held by Institutions,0.8506999999999999
52-Wk Range,['57.11 - 79.45']
Annual Dividend $,0.08
Annual Dividend %,0.0011
Ask,72.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.5
Bid,69.2
Bid Size,400.0
Closing Price,69.64
Day Change $,-1.84
Day Change %,-0.025699999999999997
Day High,70.85
Day Low,69.36
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",3.87
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.33799999999999997
Last (size),9.0
Last (time),7:00p ET 11/28/22
Market Cap,14.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.47
Prev Close,71.48
Short Interest,0.0166
Today's Open,70.59
Volume,1501178.0
Volume 10-day Avg,958432.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.19814241486068118
Growth 1yr High Est,0.23529411764705888
Growth 1yr Consensus Est,0.21671826625387003
Growth 2yr Low Est,0.1287869697042423
Growth 2yr High Est,0.17955182072829134
Growth 2yr Consensus Est,0.15416939521626682
Growth 5yr Low Est,0.048451455866613896
Growth 5yr High Est,0.06644257703081233
Growth 5yr Consensus Est,0.05744701644871311
Growth 5yr Actual/Est,0.12312654000123305
Growth 3yr Historic,0.036919708594900374
Price/Earnings (TTM),18.46938
Price/Sales (TTM),1.18861
Price/Book (MRQ),2.21001
Price/Cash Flow (TTM),12.07361
5yr Low,20.26
5yr High,79.45
5yr Avg Return,0.06795
EPS Growth 5yr,0.012762299999999999
Revenue Growth 5yr,-0.0212813
Dividend Growth 5yr,0.0
Short Int Current Month,3455580.0
Short Int Prev Month,3156234.0
Short Int Pct of Float,0.016642300000000002
Days to Cover,2.89872
Float,207.6559
Shares Outstanding,208.7715
Institutions Holding Shares,688.0
FCF Growth 5yr,0.4281276865065687
"Price/Earnings (TTM, GAAP)",18.47
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.16620000000000001
Operating Profit Margin (TTM),0.0729
Net Profit Margin (TTM),0.0671
Annual Dividend Yield,0.0011
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.049100000000000005
EPS Growth (TTM),0.1383
Revenue Growth (MRQ),-0.024100000000000003
Revenue Growth (TTM),-0.013500000000000002
Return On Equity (TTM),0.1317
Return On Assets (TTM),0.054000000000000006
Return On Investment (TTM),0.0687
Revenue Per Employee (TTM),380455.0
Total Debt/Total Capital (MRQ),0.34509999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),1.01
Interest Coverage (MRQ),7.61
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
theStreet since,2021-01-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-01-24 00:00:00
ford since,2021-10-01 00:00:00
marketEdge opinion since,
