,CARA
% Below High,0.19870000000000002
% Held by Institutions,0.6534
52-Wk Range,['7.40 - 13.97']
Annual Dividend $,
Annual Dividend %,
Ask,11.19
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.0
Bid,10.76
Bid Size,400.0
Closing Price,11.19
Day Change $,0.12
Day Change %,0.0108
Day High,11.21
Day Low,10.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.66
Ex-dividend Date,No dividend
Historical Volatility,0.624
Last (size),713.0
Last (time),12:59p ET 11/25/22
Market Cap,601.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,11.07
Short Interest,0.1367
Today's Open,10.93
Volume,119583.0
Volume 10-day Avg,297373.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.44688644688644685
Growth 1yr High Est,-0.45614035087719296
Growth 1yr Consensus Est,-0.4515133988818199
Growth 2yr Low Est,-0.3294034883438857
Growth 2yr High Est,-0.8571024335031125
Growth 2yr Consensus Est,-0.5932529609234991
Growth 5yr Low Est,-0.16470174417194286
Growth 5yr High Est,-0.4285512167515563
Growth 5yr Consensus Est,-0.29662648046174955
Growth 5yr Actual/Est,-3.1731803694448413
Growth 3yr Historic,-2.9347389558232937
Price/Earnings (TTM),
Price/Sales (TTM),15.25044
Price/Book (MRQ),3.25332
Price/Cash Flow (TTM),
5yr Low,7.4
5yr High,29.65
5yr Avg Return,-0.0061000000000000065
EPS Growth 5yr,
Revenue Growth 5yr,2.058803
Dividend Growth 5yr,
Short Int Current Month,6160643.0
Short Int Prev Month,6267058.0
Short Int Pct of Float,0.1367445
Days to Cover,14.8231
Float,45.04143
Shares Outstanding,53.73361
Institutions Holding Shares,229.0
FCF Growth 5yr,0.14636985705143482
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8489
Operating Profit Margin (TTM),-2.2763999999999998
Net Profit Margin (TTM),-2.2451
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-4.499700000000001
EPS Growth (TTM),-4.7874
Revenue Growth (MRQ),-0.5299
Revenue Growth (TTM),-0.7064
Return On Equity (TTM),-0.4516
Return On Assets (TTM),-0.4036
Return On Investment (TTM),-0.4483
Revenue Per Employee (TTM),469369.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),6.56
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-05-03 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-03-03 00:00:00
