,CARA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),15.25,18.11,Valuation,0.842076200993926
Price/Book (MRQ),3.25,11.51,Valuation,0.28236316246741966
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.8489,0.6773,Profitability,1.2533589251439539
Operating Profit Margin (TTM),-2.2763999999999998,-0.8239000000000001,Profitability,2.762956669498725
Net Profit Margin (TTM),-2.2451,-0.8640000000000001,Profitability,2.5984953703703697
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),-4.499700000000001,0.0883,Gowth rates,-50.95922989807475
EPS Growth (TTM),-4.7874,0.5870000000000001,Gowth rates,-8.155706984667802
Revenue Growth (MRQ),-0.5299,0.0441,Gowth rates,-12.015873015873016
Revenue Growth (TTM),-0.7064,0.1761,Gowth rates,-4.011357183418513
Return On Equity (TTM),-0.4516,0.30160000000000003,Effectiveness,-1.4973474801061006
Return On Assets (TTM),-0.4036,0.092,Effectiveness,-4.386956521739131
Return On Investment (TTM),-0.4483,0.13820000000000002,Effectiveness,-3.2438494934876982
Revenue Per Employee (TTM),469369.0,1425813.0,Effectiveness,0.3291939405798657
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),6.56,1.22,Financial strength,5.377049180327869
Interest Coverage (MRQ),,26.08,Financial strength,
