,CTLT
% Above Low,0.0172
% Held by Institutions,1.0169
52-Wk Range,['40.69 - 136.13']
Annual Dividend $,
Annual Dividend %,
Ask,42.2
Ask Size,300.0
B/A Ratio,3.3333333333333335
B/A Size,1000x300
Beta,1.2
Bid,40.87
Bid Size,1000.0
Closing Price,41.39
Day Change $,-0.79
Day Change %,-0.0187
Day High,42.0
Day Low,41.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.34
Ex-dividend Date,No dividend
Historical Volatility,0.535
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,7.4B
"P/E Ratio (TTM, GAAP)",17.71
Prev Close,42.18
Short Interest,0.020499999999999997
Today's Open,41.88
Volume,760715.0
Volume 10-day Avg,2746817.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.22972972972972971
Growth 1yr High Est,-0.038461538461538436
Growth 1yr Consensus Est,-0.13409563409563408
Growth 2yr Low Est,-0.03591749644381231
Growth 2yr High Est,0.07010256410256416
Growth 2yr Consensus Est,0.017092533829375922
Growth 5yr Low Est,-0.03591749644381231
Growth 5yr High Est,0.07010256410256416
Growth 5yr Consensus Est,0.017092533829375922
Growth 5yr Actual/Est,0.1786961086336553
Growth 3yr Historic,0.1800908892491893
Price/Earnings (TTM),17.70635
Price/Sales (TTM),1.54377
Price/Book (MRQ),1.58515
Price/Cash Flow (TTM),9.11713
5yr Low,29.23
5yr High,142.64
5yr Avg Return,0.16690000000000002
EPS Growth 5yr,0.2667469
Revenue Growth 5yr,0.18394929999999998
Dividend Growth 5yr,
Short Int Current Month,3581957.0
Short Int Prev Month,4057719.0
Short Int Pct of Float,0.0204914
Days to Cover,0.71054
Float,179.306
Shares Outstanding,179.9636
Institutions Holding Shares,778.0
FCF Growth 5yr,1.1103005926535339
"Price/Earnings (TTM, GAAP)",17.71
"PEG Ratio (TTM, GAAP)",1.95
Gross Profit Margin (TTM),0.3262
Operating Profit Margin (TTM),0.1405
Net Profit Margin (TTM),0.0883
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.0
EPS Growth (TTM),-0.2659
Revenue Growth (MRQ),-0.22160000000000002
Revenue Growth (TTM),0.1551
Return On Equity (TTM),0.0965
Return On Assets (TTM),0.0418
Return On Investment (TTM),0.0464
Revenue Per Employee (TTM),253947.0
Total Debt/Total Capital (MRQ),0.4722
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),2.06
Interest Coverage (MRQ),1.11
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
cfra since,2021-05-04 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-10-31 00:00:00
marketEdge opinion since,
