,BYD
% Below High,0.17129999999999998
% Held by Institutions,0.6812
52-Wk Range,['46.10 - 72.72']
Annual Dividend $,0.6
Annual Dividend %,0.01
Ask,66.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,56.1
Bid Size,100.0
Closing Price,60.26
Day Change $,0.53
Day Change %,0.0089
Day High,60.49
Day Low,59.54
Dividend Pay Date,2022-10-15 00:00:00
"EPS (TTM, GAAP)",5.2
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.41000000000000003
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,6.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.58
Prev Close,59.73
Short Interest,0.0626
Today's Open,59.77
Volume,273579.0
Volume 10-day Avg,852328.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.12500000000000022
Growth 1yr High Est,0.16274509803921577
Growth 1yr Consensus Est,0.143872549019608
Growth 2yr Low Est,0.0023148148148148806
Growth 2yr High Est,0.08896108190325036
Growth 2yr Consensus Est,0.04563794835903262
Growth 5yr Low Est,0.47404897367246773
Growth 5yr High Est,0.47629872276980695
Growth 5yr Consensus Est,0.4751738482211373
Growth 5yr Actual/Est,-9.037709417467763
Growth 3yr Historic,-9.054283054003724
Price/Earnings (TTM),11.58136
Price/Sales (TTM),1.79075
Price/Book (MRQ),4.08207
Price/Cash Flow (TTM),7.49551
5yr Low,6.44
5yr High,72.72
5yr Avg Return,0.17633333333333334
EPS Growth 5yr,0.1765487
Revenue Growth 5yr,0.0890951
Dividend Growth 5yr,
Short Int Current Month,4665657.0
Short Int Prev Month,4605370.0
Short Int Pct of Float,0.0625831
Days to Cover,5.04519
Float,74.50285
Shares Outstanding,104.3751
Institutions Holding Shares,419.0
FCF Growth 5yr,0.2314307630910228
"Price/Earnings (TTM, GAAP)",11.58
"PEG Ratio (TTM, GAAP)",1.88
Gross Profit Margin (TTM),0.5623
Operating Profit Margin (TTM),0.2565
Net Profit Margin (TTM),0.1641
Annual Dividend Yield,0.01
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0969
EPS Growth (TTM),0.3564
Revenue Growth (MRQ),-0.0192
Revenue Growth (TTM),0.1236
Return On Equity (TTM),0.37820000000000004
Return On Assets (TTM),0.09179999999999999
Return On Investment (TTM),0.10099999999999999
Revenue Per Employee (TTM),232387.0
Total Debt/Total Capital (MRQ),0.6506000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),7.16
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-06-01 00:00:00
