,BYD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.58,114.03,Valuation,0.10155222309918442
Price/Sales (TTM),1.79,5.62,Valuation,0.3185053380782918
Price/Book (MRQ),4.08,8.49,Valuation,0.48056537102473496
"PEG Ratio (TTM, GAAP)",1.88,0.53,Valuation,3.5471698113207544
Gross Profit Margin (TTM),0.5623,0.4054,Profitability,1.3870251603354713
Operating Profit Margin (TTM),0.2565,0.163,Profitability,1.5736196319018405
Net Profit Margin (TTM),0.1641,0.0779,Profitability,2.1065468549422337
Annual Dividend Yield,0.01,0.011200000000000002,Dividend,0.8928571428571428
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),0.0969,0.3309,Gowth rates,0.2928377153218495
EPS Growth (TTM),0.3564,2.1359,Gowth rates,0.16686174446369212
Revenue Growth (MRQ),-0.0192,0.38439999999999996,Gowth rates,-0.04994797086368366
Revenue Growth (TTM),0.1236,0.7695000000000001,Gowth rates,0.16062378167641325
Return On Equity (TTM),0.37820000000000004,0.19090000000000001,Effectiveness,1.9811419591409116
Return On Assets (TTM),0.09179999999999999,0.0758,Effectiveness,1.2110817941952505
Return On Investment (TTM),0.10099999999999999,0.1005,Effectiveness,1.0049751243781093
Revenue Per Employee (TTM),232387.0,285753.0,Effectiveness,0.8132443053966187
Total Debt/Total Capital (MRQ),0.6506000000000001,1.1596,Financial strength,0.5610555363918593
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.002,Financial strength,-0.4
Quick Ratio (MRQ),0.72,0.81,Financial strength,0.8888888888888888
Interest Coverage (MRQ),7.16,40.22,Financial strength,0.17802088513177525
