,ABC
% Below High,0.0013
% Held by Institutions,0.6995999999999999
52-Wk Range,['113.68 - 167.92']
Annual Dividend $,1.94
Annual Dividend %,0.0116
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,153.0
Bid Size,
Closing Price,167.7
Day Change $,2.17
Day Change %,0.0131
Day High,167.92
Day Low,165.96
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",8.04
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.239
Last (size),178.0
Last (time),5:00p ET 11/25/22
Market Cap,33.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.86
Prev Close,165.53
Short Interest,0.0355
Today's Open,166.58
Volume,914962.0
Volume 10-day Avg,1814287.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.040256175663311966
Growth 1yr High Est,0.04615384615384621
Growth 1yr Consensus Est,0.04320501090857909
Growth 2yr Low Est,0.062344446670706155
Growth 2yr High Est,0.09487623103540066
Growth 2yr Consensus Est,0.07861033885305341
Growth 5yr Low Est,0.12230423605906865
Growth 5yr High Est,0.13693395645906775
Growth 5yr Consensus Est,0.1296190962590682
Growth 5yr Actual/Est,0.12586234120857887
Growth 3yr Historic,0.0908241517893758
Price/Earnings (TTM),20.864
Price/Sales (TTM),0.14229
Price/Book (MRQ),
Price/Cash Flow (TTM),14.28622
5yr Low,69.36
5yr High,167.29
5yr Avg Return,0.14291666666666666
EPS Growth 5yr,0.37361649999999996
Revenue Growth 5yr,0.09272140000000001
Dividend Growth 5yr,0.0473528
Short Int Current Month,5747431.0
Short Int Prev Month,5534119.0
Short Int Pct of Float,0.0354509
Days to Cover,2.15503
Float,162.2953
Shares Outstanding,202.4414
Institutions Holding Shares,1222.0
FCF Growth 5yr,0.43658647391681665
"Price/Earnings (TTM, GAAP)",20.86
"PEG Ratio (TTM, GAAP)",2.39
Gross Profit Margin (TTM),0.0349
Operating Profit Margin (TTM),0.0101
Net Profit Margin (TTM),0.006999999999999999
Annual Dividend Yield,0.0116
Dividend Change %,0.0455
"Dividend Growth Rate, 3 Years",0.0477
EPS Growth (MRQ),-0.2696
EPS Growth (TTM),0.0882
Revenue Growth (MRQ),0.018500000000000003
Revenue Growth (TTM),0.115
Return On Equity (TTM),288.0577
Return On Assets (TTM),0.029300000000000003
Return On Investment (TTM),0.1173
Revenue Per Employee (TTM),6117616.0
Total Debt/Total Capital (MRQ),0.9877
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),0.55
Interest Coverage (MRQ),9.46
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-11-05 00:00:00
cfra since,2022-03-11 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-11-05 00:00:00
