,MSFT
% Above Low,0.15960000000000002
% Held by Institutions,0.7009000000000001
52-Wk Range,['213.43 - 344.30']
Annual Dividend $,2.72
Annual Dividend %,0.011000000000000001
Ask,245.79
Ask Size,100.0
Ask close,262.85
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,245.51
Bid Size,100.0
Bid close,247.43
Change Since Close,-1.84| |(-0.74%)
Closing Price,247.49
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",9.28
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.35000000000000003
Last (size),8.0
Last (time),1:00p ET 11/25/22
Last Trade,245.65
Market Cap,1.8T
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",26.67
Prev Close,247.49
Short Interest,0.0046
Today's Open,
Volume,21087.0
Volume 10-day Avg,26636518.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.00433839479392617
Growth 1yr High Est,0.05813953488372081
Growth 1yr Consensus Est,0.03123896483882349
Growth 2yr Low Est,0.06480418659782705
Growth 2yr High Est,0.15244639081848377
Growth 2yr Consensus Est,0.10862528870815541
Growth 5yr Low Est,0.17398654475905562
Growth 5yr High Est,0.21584665695103006
Growth 5yr Consensus Est,0.19491660085504284
Growth 5yr Actual/Est,0.1873164617053169
Growth 3yr Historic,0.13541720583160805
Price/Earnings (TTM),26.66797
Price/Sales (TTM),9.08486
Price/Book (MRQ),10.63303
Price/Cash Flow (TTM),22.00851
5yr Low,80.7
5yr High,349.67
5yr Avg Return,0.2372166666666667
EPS Growth 5yr,0.2427448
Revenue Growth 5yr,0.1547343
Dividend Growth 5yr,0.09603590000000001
Short Int Current Month,34590231.0
Short Int Prev Month,36909448.0
Short Int Pct of Float,0.0046438
Days to Cover,1.01466
Float,7449.03
Shares Outstanding,7454.473
Institutions Holding Shares,5914.0
FCF Growth 5yr,0.1224751492422016
"Price/Earnings (TTM, GAAP)",26.67
"PEG Ratio (TTM, GAAP)",2.05
Gross Profit Margin (TTM),0.6826000000000001
Operating Profit Margin (TTM),0.41630000000000006
Net Profit Margin (TTM),0.3437
Annual Dividend Yield,0.011000000000000001
Dividend Change %,0.105
"Dividend Growth Rate, 3 Years",0.1037
EPS Growth (MRQ),0.0514
EPS Growth (TTM),0.0374
Revenue Growth (MRQ),-0.0336
Revenue Growth (TTM),0.1522
Return On Equity (TTM),0.4288
Return On Assets (TTM),0.20079999999999998
Return On Investment (TTM),0.2647
Revenue Per Employee (TTM),918891.0
Total Debt/Total Capital (MRQ),0.2671
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),1.79
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-03-25 00:00:00
theStreet since,2018-04-27 00:00:00
cfra since,2020-07-25 00:00:00
ford since,2022-03-25 00:00:00
marketEdge opinion since,
