,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,174.97,219.94,191.73,,,,,
low,121.5,129.71,86.71,,,,,
change,0.0055000000000000005,0.1027,-0.40909999999999996,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,6067.0,6887.0,7838.0,7524.0,Balance Sheet
Short Term Investments,,,,2255.0,2436.0,2057.0,2104.0,Balance Sheet
Cash and Short Term Invs,,,,8322.0,9322.0,9895.0,9628.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,3743.0,,,,Balance Sheet
Prov. for Doubtful Accts,,,,-27.0,,,,Balance Sheet
"Trade Accts Recvble, Net",,,,3715.0,6105.0,7466.0,4805.0,Balance Sheet
Other Receivables,,,,143.0,156.0,205.0,178.0,Balance Sheet
"Total Receivables, Net",,,,3858.0,6261.0,7670.0,4983.0,Balance Sheet
Prepaid Expenses,,,,191.0,164.0,245.0,254.0,Balance Sheet
"Other Curr. Assets, Total",,,,15.0,15.0,15.0,2.0,Balance Sheet
Total Current Assets,,,,12386.0,15761.0,17826.0,14867.0,Balance Sheet
Buildings,,,,214.0,,,,Balance Sheet
Land/Improvements,,,,17.0,,,,Balance Sheet
Machinery/Equipment,,,,232.0,,,,Balance Sheet
Construction in Progress,,,,30.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,315.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,808.0,,,,Balance Sheet
Accumulated Depreciation,,,,-379.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,429.0,406.0,283.0,273.0,Balance Sheet
"Goodwill, Net",,,,653.0,652.0,649.0,647.0,Balance Sheet
Intangibles - Gross,,,,113.0,,,,Balance Sheet
Accum. Intangible Amort.,,,,-60.0,,,,Balance Sheet
Intangibles - Net,,,,52.0,47.0,42.0,38.0,Balance Sheet
Other Long Term Assets,,,,189.0,203.0,259.0,253.0,Balance Sheet
Total Assets,,,,13708.0,17068.0,19059.0,16077.0,Balance Sheet
Accounts Payable,,,,3834.0,6233.0,7605.0,4958.0,Balance Sheet
Accrued Expenses,,,,1267.0,1257.0,1228.0,1327.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,0.0,,,,Balance Sheet
Customer Advances,,,,904.0,1748.0,1981.0,1220.0,Balance Sheet
Income Taxes Payable,,,,310.0,537.0,474.0,510.0,Balance Sheet
Other Current Liabilities,,,,45.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,1258.0,2284.0,2455.0,1730.0,Balance Sheet
Total Current Liabilities,,,,6359.0,9774.0,11287.0,8015.0,Balance Sheet
Total Long Term Debt,,,,1983.0,1984.0,1985.0,1986.0,Balance Sheet
Total Debt,,,,1983.0,1984.0,1985.0,1986.0,Balance Sheet
