,ABNB
% Above Low,0.1264
% Held by Institutions,0.6219
52-Wk Range,['86.71 - 191.73']
Annual Dividend $,
Annual Dividend %,
Ask,97.64
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,
Bid,97.5
Bid Size,300.0
Closing Price,97.67
Day Change $,1.04
Day Change %,0.0108
Day High,98.83
Day Low,96.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.4
Ex-dividend Date,No dividend
Historical Volatility,0.619
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,61.8B
"P/E Ratio (TTM, GAAP)",40.75
Prev Close,96.63
Short Interest,0.042800000000000005
Today's Open,96.97
Volume,2245116.0
Volume 10-day Avg,5179316.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.06382978723404253
Growth 2yr High Est,0.25714285714285734
Growth 2yr Consensus Est,0.0966565349544074
Growth 5yr Low Est,-0.06382978723404253
Growth 5yr High Est,0.25714285714285734
Growth 5yr Consensus Est,0.0966565349544074
Growth 5yr Actual/Est,-2.1387346828288716
Growth 3yr Historic,-0.32117722328854764
Price/Earnings (TTM),40.75051
Price/Sales (TTM),7.70176
Price/Book (MRQ),11.32294
Price/Cash Flow (TTM),35.79394
5yr Low,86.71
5yr High,219.94
5yr Avg Return,-0.1003
EPS Growth 5yr,
Revenue Growth 5yr,0.29336490000000004
Dividend Growth 5yr,
Short Int Current Month,16760488.0
Short Int Prev Month,17012122.0
Short Int Pct of Float,0.0427758
Days to Cover,1.6855
Float,383.2214
Shares Outstanding,633.1772
Institutions Holding Shares,1270.0
FCF Growth 5yr,0.2329360550312586
"Price/Earnings (TTM, GAAP)",40.75
"PEG Ratio (TTM, GAAP)",2.03
Gross Profit Margin (TTM),0.6942
Operating Profit Margin (TTM),0.2046
Net Profit Margin (TTM),0.2029
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.2216
EPS Growth (TTM),1.3315000000000001
Revenue Growth (MRQ),0.37079999999999996
Revenue Growth (TTM),0.5097
Return On Equity (TTM),0.3261
Return On Assets (TTM),0.10980000000000001
Return On Investment (TTM),0.21600000000000003
Revenue Per Employee (TTM),1309467.0
Total Debt/Total Capital (MRQ),0.2639
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
theStreet,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-02-17 00:00:00
cfra since,2021-02-22 00:00:00
ford since,2022-03-25 00:00:00
theStreet since,2022-02-17 00:00:00
marketEdge opinion since,
