,LH
% Above Low,0.2049
% Held by Institutions,0.9145
52-Wk Range,['200.32 - 317.17']
Annual Dividend $,2.88
Annual Dividend %,0.011899999999999999
Ask,270.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,205.28
Bid Size,100.0
Closing Price,241.37
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",18.73
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.3
Last (size),535.0
Last (time),5:00p ET 11/25/22
Market Cap,21.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.89
Prev Close,241.37
Short Interest,0.0175
Today's Open,
Volume,211058.0
Volume 10-day Avg,797071.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.2742175856929955
Growth 1yr High Est,-0.29465221950367004
Growth 1yr Consensus Est,-0.28443490259833276
Growth 2yr Low Est,-0.20230386471508088
Growth 2yr High Est,-0.18647378071318282
Growth 2yr Consensus Est,-0.19438882271413185
Growth 5yr Low Est,0.2474207705862597
Growth 5yr High Est,0.2902883532217966
Growth 5yr Consensus Est,0.2688545619040281
Growth 5yr Actual/Est,0.22268089015182016
Growth 3yr Historic,0.32653815044088425
Price/Earnings (TTM),12.88654
Price/Sales (TTM),1.40152
Price/Book (MRQ),2.14292
Price/Cash Flow (TTM),8.82417
5yr Low,98.02
5yr High,317.17
5yr Avg Return,0.11818333333333333
EPS Growth 5yr,0.29003409999999996
Revenue Growth 5yr,0.11032679999999999
Dividend Growth 5yr,
Short Int Current Month,1547464.0
Short Int Prev Month,1145538.0
Short Int Pct of Float,0.0175112
Days to Cover,1.7244
Float,88.36391
Shares Outstanding,88.6
Institutions Holding Shares,1269.0
FCF Growth 5yr,0.42978645850321934
"Price/Earnings (TTM, GAAP)",12.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3139
Operating Profit Margin (TTM),0.1582
Net Profit Margin (TTM),0.1152
Annual Dividend Yield,0.011899999999999999
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0055000000000000005
EPS Growth (TTM),-0.335
Revenue Growth (MRQ),-0.0246
Revenue Growth (TTM),-0.07830000000000001
Return On Equity (TTM),0.1703
Return On Assets (TTM),0.0864
Return On Investment (TTM),0.0998
Revenue Per Employee (TTM),202102.0
Total Debt/Total Capital (MRQ),0.3493
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.55
Interest Coverage (MRQ),14.51
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-03-25 00:00:00
theStreet since,2020-07-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-28 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
