,LH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.89,29.13,Valuation,0.4424991417782355
Price/Sales (TTM),1.4,1.32,Valuation,1.0606060606060606
Price/Book (MRQ),2.14,4.31,Valuation,0.4965197215777263
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.3139,0.1318,Profitability,2.381638846737481
Operating Profit Margin (TTM),0.1582,0.0458,Profitability,3.4541484716157207
Net Profit Margin (TTM),0.1152,0.0242,Profitability,4.760330578512397
Annual Dividend Yield,0.011899999999999999,0.0108,Dividend,1.1018518518518516
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.0055000000000000005,-0.1478,Gowth rates,-0.03721244925575102
EPS Growth (TTM),-0.335,-1.101,Gowth rates,0.3042688465031789
Revenue Growth (MRQ),-0.0246,0.0931,Gowth rates,-0.26423200859291085
Revenue Growth (TTM),-0.07830000000000001,0.1191,Gowth rates,-0.6574307304785895
Return On Equity (TTM),0.1703,7.2022,Effectiveness,0.023645552747771515
Return On Assets (TTM),0.0864,0.0403,Effectiveness,2.1439205955334986
Return On Investment (TTM),0.0998,0.016,Effectiveness,6.2375
Revenue Per Employee (TTM),202102.0,1375304.0,Effectiveness,0.14695078324501346
Total Debt/Total Capital (MRQ),0.3493,0.4855,Financial strength,0.7194644696189496
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0015,Financial strength,0.26666666666666666
Quick Ratio (MRQ),1.55,0.31,Financial strength,5.0
Interest Coverage (MRQ),14.51,9.55,Financial strength,1.519371727748691
