,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,57.87,75.91,204.72,286.29,272.04,,,,,
low,22.5,38.68,40.53,159.18,142.74,,,,,
change,0.7252,0.7835,1.5274,0.2465,-0.0014000000000000002,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,214.0,203.0,187.0,418.0,Balance Sheet
Short Term Investments,,,,,,0.0,,10.0,10.0,Balance Sheet
Cash and Short Term Invs,,,,,,214.0,203.0,196.0,428.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,34.0,35.0,40.0,49.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,,34.0,35.0,40.0,48.0,Balance Sheet
Invent. - Finished Goods,,,,,,14.0,17.0,15.0,9.0,Balance Sheet
Invent. - Raw Materials,,,,,,3.0,5.0,6.0,6.0,Balance Sheet
Total Inventory,,,,,,17.0,22.0,22.0,15.0,Balance Sheet
Prepaid Expenses,,,,,,3.0,2.0,5.0,4.0,Balance Sheet
Total Current Assets,,,,,,269.0,262.0,263.0,496.0,Balance Sheet
Buildings,,,,,,0.0,0.0,1.0,2.0,Balance Sheet
Machinery/Equipment,,,,,,6.0,7.0,7.0,7.0,Balance Sheet
Construction in Progress,,,,,,5.0,5.0,6.0,9.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,8.0,8.0,8.0,8.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,19.0,20.0,22.0,26.0,Balance Sheet
Accumulated Depreciation,,,,,,-3.0,-3.0,-4.0,-4.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,16.0,17.0,18.0,21.0,Balance Sheet
Long Term Investments,,,,,,10.0,10.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,,,,0.0,0.0,10.0,11.0,Balance Sheet
Total Assets,,,,,,295.0,290.0,292.0,528.0,Balance Sheet
Accounts Payable,,,,,,12.0,17.0,16.0,20.0,Balance Sheet
Accrued Expenses,,,,,,20.0,14.0,19.0,29.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,9.0,12.0,12.0,0.0,Balance Sheet
Total Current Liabilities,,,,,,41.0,43.0,47.0,49.0,Balance Sheet
Total Long Term Debt,,,,,,16.0,13.0,10.0,0.0,Balance Sheet
Total Debt,,,,,,25.0,25.0,22.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,9.0,9.0,8.0,8.0,Balance Sheet
Total Liabilities,,,,,,66.0,65.0,65.0,57.0,Balance Sheet
Redeemable Preferred Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,508.0,521.0,538.0,798.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-279.0,-296.0,-311.0,-327.0,Balance Sheet
"Other Equity, Total",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,,,229.0,225.0,227.0,470.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,295.0,290.0,292.0,528.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,27.0,28.0,28.0,29.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,78398.0,69382.0,91386.0,109188.0,Income Statement
"Cost of Revenue, Total",,,,,,11156.0,10004.0,14173.0,19786.0,Income Statement
Selling/Gen/Admin Expense,,,,,,53020.0,55734.0,76686.0,85603.0,Income Statement
Labor & Related Expense,,,,,,5749.0,7830.0,,,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,58769.0,63564.0,76686.0,85603.0,Income Statement
Research & Development,,,,,,10294.0,11870.0,14534.0,20993.0,Income Statement
Total Operating Expense,,,,,,80219.0,85438.0,105393.0,126382.0,Income Statement
Total Operating Income,,,,,,-1821.0,-16056.0,-14007.0,-17194.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-538.0,-527.0,-494.0,-656.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,15.0,34.0,297.0,1350.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,-27.0,-45.0,-144.0,-101.0,Income Statement
"Other, Net",,,,,,-27.0,-45.0,-144.0,-101.0,Income Statement
Income Before Tax,,,,,,-2371.0,-16594.0,-14348.0,-16601.0,Income Statement
Income Tax - Total,,,,,,20.0,100.0,142.0,246.0,Income Statement
Income After Tax,,,,,,-2391.0,-16694.0,-14490.0,-16847.0,Income Statement
Net Inc Before Extra Items,,,,,,-2391.0,-16694.0,-14490.0,-16847.0,Income Statement
