,INSP
% Below High,0.1535
% Held by Institutions,0.9769
52-Wk Range,['142.74 - 272.04']
Annual Dividend $,
Annual Dividend %,
Ask,231.13
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.5
Bid,188.74
Bid Size,100.0
Closing Price,230.28
Day Change $,3.02
Day Change %,0.013300000000000001
Day High,231.64
Day Low,227.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.82
Ex-dividend Date,No dividend
Historical Volatility,0.5710000000000001
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,6.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,227.26
Short Interest,0.0433
Today's Open,227.35
Volume,73934.0
Volume 10-day Avg,314373.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.6730769230769229
Growth 1yr High Est,0.5661764705882351
Growth 1yr Consensus Est,0.619626696832579
Growth 2yr Low Est,0.4399867374005304
Growth 2yr High Est,0.13754832919083115
Growth 2yr Consensus Est,0.2887675332956808
Growth 5yr Low Est,0.2199933687002652
Growth 5yr High Est,0.06877416459541558
Growth 5yr Consensus Est,0.1443837666478404
Growth 5yr Actual/Est,0.21377257160647573
Growth 3yr Historic,0.06687051532941946
Price/Earnings (TTM),
Price/Sales (TTM),19.09936
Price/Book (MRQ),14.11478
Price/Cash Flow (TTM),
5yr Low,22.5
5yr High,286.29
5yr Avg Return,0.6562399999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.7002246
Dividend Growth 5yr,
Short Int Current Month,1222599.0
Short Int Prev Month,1209540.0
Short Int Pct of Float,0.0432674
Days to Cover,2.91997
Float,28.32931
Shares Outstanding,28.89239
Institutions Holding Shares,395.0
FCF Growth 5yr,-0.08656399987126573
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8418000000000001
Operating Profit Margin (TTM),-0.1409
Net Profit Margin (TTM),-0.14470000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1366
EPS Growth (TTM),-0.0471
Revenue Growth (MRQ),0.1948
Revenue Growth (TTM),0.7331000000000001
Return On Equity (TTM),-0.146
Return On Assets (TTM),-0.1251
Return On Investment (TTM),-0.1394
Revenue Per Employee (TTM),718256.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),9.75
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
