,FCF
% Above Low,0.152
% Held by Institutions,0.6986
52-Wk Range,['12.76 - 17.63']
Annual Dividend $,0.48
Annual Dividend %,0.0327
Ask,23.0
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,1.0
Bid,11.0
Bid Size,400.0
Closing Price,14.7
Day Change $,0.05
Day Change %,0.0034000000000000002
Day High,14.78
Day Low,14.63
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",1.35
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.254
Last (size),44.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.89
Prev Close,14.65
Short Interest,0.0374
Today's Open,14.72
Volume,268675.0
Volume 10-day Avg,356542.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.01449275362318847
Growth 1yr High Est,0.013986013986013957
Growth 1yr Consensus Est,0.014239383804601213
Growth 2yr Low Est,0.09296066252587998
Growth 2yr High Est,0.13457921388955874
Growth 2yr Consensus Est,0.11376993820771936
Growth 5yr Low Est,0.22497683475944336
Growth 5yr High Est,0.20732720092974175
Growth 5yr Consensus Est,0.21615201784459256
Growth 5yr Actual/Est,0.1962780978802105
Growth 3yr Historic,0.15045454545454542
Price/Earnings (TTM),10.88913
Price/Sales (TTM),3.47574
Price/Book (MRQ),1.34234
Price/Cash Flow (TTM),9.9703
5yr Low,6.77
5yr High,17.91
5yr Avg Return,0.028750000000000005
EPS Growth 5yr,0.1655374
Revenue Growth 5yr,0.0619015
Dividend Growth 5yr,0.10197229999999999
Short Int Current Month,3427725.0
Short Int Prev Month,2743229.0
Short Int Pct of Float,0.0373835
Days to Cover,8.3893
Float,91.78985
Shares Outstanding,93.37631
Institutions Holding Shares,281.0
FCF Growth 5yr,0.34798267188204296
"Price/Earnings (TTM, GAAP)",10.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.40240000000000004
Net Profit Margin (TTM),0.3222
Annual Dividend Yield,0.0327
Dividend Change %,0.034100000000000005
"Dividend Growth Rate, 3 Years",0.09140000000000001
EPS Growth (MRQ),0.1139
EPS Growth (TTM),0.005200000000000001
Revenue Growth (MRQ),0.1169
Revenue Growth (TTM),0.0463
Return On Equity (TTM),0.1192
Return On Assets (TTM),0.0134
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-10 00:00:00
researchTeam since,2022-10-21 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
