,BCYC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),55.28,45.03,Valuation,1.227626027093049
Price/Book (MRQ),2.87,12.61,Valuation,0.22759714512291834
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-6.8088,-4.7459,Profitability,1.4346699256200088
Net Profit Margin (TTM),-6.6965,-4.5467,Profitability,1.4728264455539182
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.0556,-0.0014000000000000002,Gowth rates,39.71428571428571
EPS Growth (TTM),-0.18,0.027200000000000002,Gowth rates,-6.617647058823529
Revenue Growth (MRQ),-0.3056,1.3963999999999999,Gowth rates,-0.21884846748782585
Revenue Growth (TTM),0.2782,0.9747,Gowth rates,0.2854211552272494
Return On Equity (TTM),-0.4379,0.1967,Effectiveness,-2.2262328418912047
Return On Assets (TTM),-0.2886,0.0016,Effectiveness,-180.375
Return On Investment (TTM),-0.3216,0.0219,Effectiveness,-14.684931506849315
Revenue Per Employee (TTM),126462.0,1476201.0,Effectiveness,0.0856671957274111
Total Debt/Total Capital (MRQ),0.09460000000000002,0.4675,Financial strength,0.20235294117647062
Change in Debt/Total Capital Quarter over Quarter,-0.0031,0.0036,Financial strength,-0.861111111111111
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
