,BCYC
% Above Low,1.3195
% Held by Institutions,0.9024
52-Wk Range,['12.08 - 61.50']
Annual Dividend $,
Annual Dividend %,
Ask,34.15
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.8
Bid,27.2
Bid Size,100.0
Closing Price,28.02
Day Change $,0.84
Day Change %,0.030899999999999997
Day High,28.29
Day Low,26.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.41
Ex-dividend Date,No dividend
Historical Volatility,0.8320000000000001
Last (size),144.0
Last (time),1:00p ET 11/25/22
Market Cap,831.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,27.18
Short Interest,0.09539999999999998
Today's Open,26.92
Volume,61933.0
Volume 10-day Avg,210118.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.18991097922848654
Growth 1yr High Est,0.5301724137931034
Growth 1yr Consensus Est,0.360041696510795
Growth 2yr Low Est,0.24458142477633804
Growth 2yr High Est,0.27776226323458
Growth 2yr Consensus Est,0.261171844005459
Growth 5yr Low Est,0.12759374269119933
Growth 5yr High Est,0.2320763978894793
Growth 5yr Consensus Est,0.17983507029033932
Growth 5yr Actual/Est,0.1402761552545446
Growth 3yr Historic,-0.00898794820987489
Price/Earnings (TTM),
Price/Sales (TTM),55.27935
Price/Book (MRQ),2.87276
Price/Cash Flow (TTM),
5yr Low,6.24
5yr High,62.08
5yr Avg Return,0.5943999999999999
Short Int Current Month,2550610.0
Short Int Prev Month,2790015.0
Short Int Pct of Float,0.0953992
Days to Cover,8.17412
Float,4.33333
Shares Outstanding,29.68947
Institutions Holding Shares,105.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-6.8088
Net Profit Margin (TTM),-6.6965
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0556
EPS Growth (TTM),-0.18
Revenue Growth (MRQ),-0.3056
Revenue Growth (TTM),0.2782
Return On Equity (TTM),-0.4379
Return On Assets (TTM),-0.2886
Return On Investment (TTM),-0.3216
Revenue Per Employee (TTM),126462.0
Total Debt/Total Capital (MRQ),0.09460000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0031
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-04-22 00:00:00
newConstructs since,
cfra since,
ford since,
researchTeam since,
marketEdge opinion since,
